run_timestamp,strategy_version,market_date,soxl_open,soxl_high,soxl_low,soxl_close,soxl_mean_5,soxl_std_5,soxl_z_score,qqq_close,qqq_ma50,qqq_above_ma50,oversold,episode_start,buy_signal,account_state,in_position,pending_entry,signal_date,entry_date,entry_price,shares,days_held,position_market_value,current_position_return,current_marked_pl,paper_cash,paper_realized_equity,paper_marked_equity,equity_peak,current_drawdown,max_mark_to_market_drawdown,next_action,reason,data_warning
2026-07-07T00:16:08.301036,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-06,197.2100067138672,210.8000030517578,194.22000122070312,194.64999389648438,219.37999877929687,33.859998286158095,-0.730360488320582,722.8200073242188,709.8820617675781,True,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-08T00:06:01.305785,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-07,165.39999389648438,171.8800048828125,150.0800018310547,165.27999877929688,205.13199768066406,39.38273882970688,-1.011915374237668,709.4299926757812,711.0565637207031,False,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-09T00:18:14.898040,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-08,159.2100067138672,176.75,158.87489318847656,174.82000732421875,186.75400085449218,20.26212030050865,-0.5889804893702977,711.4400024414062,712.0223388671875,False,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-10T00:12:58.241323,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-09,199.80999755859375,204.52000427246094,189.4600067138672,192.4499969482422,181.73399963378907,12.25012892968742,0.8747660841743119,723.280029296875,713.2179223632812,True,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-11T00:05:11.641260,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-10,182.39999389648438,195.94000244140625,176.8300018310547,192.25999450683594,183.89199829101562,13.112062357407765,0.6381906970639707,725.510009765625,714.5915588378906,True,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-13T21:57:04.652354,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-13,174.61000061035156,177.66000366210938,161.5500030517578,165.3699951171875,178.03599853515624,13.634250836396228,-0.9289841862199878,711.739990234375,715.6094836425781,False,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-13T23:59:08.166394,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-13,174.61000061035156,177.66000366210938,161.5500030517578,165.3699951171875,178.03599853515624,13.634250836396228,-0.9289841862199878,711.739990234375,715.6094836425781,False,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-14T23:59:15.726445,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-14,187.69000244140625,188.42599487304688,170.25999450683594,176.66000366210938,180.31199951171874,11.798814700762167,-0.3095222649249213,719.6900024414062,716.66314453125,True,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-16T00:04:47.214567,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-15,183.77000427246094,183.93499755859375,150.0,165.5500030517578,178.45799865722657,13.485326088249906,-0.9571882445405461,717.739990234375,717.5497448730468,True,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
2026-07-17T00:04:58.510795,fast_5d_zlt_m1_50_qqq_ma50_hold4_no_stop_v1,2026-07-16,150.44000244140625,155.80999755859375,138.0,142.47999572753906,168.46399841308593,18.211648422501007,-1.4267792833867197,705.9400024414062,718.2257177734375,False,False,False,False,flat,False,False,,,,0.0,0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,NO TRADE,No valid entry signal.,
