strategy,year,trades,avg_trade,median_trade,win_rate,compounded_trade_return
Current MA50,2021,5,0.0940872573086253,0.1705221696965895,0.8,0.5211161901607448
Current MA50,2022,1,-0.1208800000000001,-0.1208800000000001,0.0,-0.1208800000000001
Current MA50,2023,1,0.05149252952442196,0.05149252952442196,1.0,0.05149252952442196
Current MA50,2024,4,0.08008371949164042,0.1212074389832809,0.75,0.3215100913124751
Current MA50,2025,1,0.058102214747207226,0.058102214747207226,1.0,0.058102214747207226
MA20 + MA50,2021,2,0.02841239968917425,0.02841239968917425,0.5,0.03534384322949369
MA20 + MA50,2025,1,0.058102214747207226,0.058102214747207226,1.0,0.058102214747207226
