asset,trades,avg_return,median_return,win_rate,best_trade,worst_trade,compounded_trade_return
AMD,20,-0.0021351486473651484,0.009659266673339717,0.6,0.1870313946080746,-0.11071987258355942,-0.08002412769618394
AVGO,11,0.010543122238635043,0.011325888595347555,0.6363636363636364,0.09023397955624457,-0.052936628398815966,0.11265993368213989
NVDA,14,0.019963362016359405,0.027299742913432623,0.6428571428571429,0.13720197223628428,-0.14982935481875703,0.27626931492271645
SMH,7,0.0011764268551897686,0.019068897632682047,0.5714285714285714,0.06678597714466195,-0.0610920204136971,0.002128902807667865
SOXL,14,0.05443382689923736,0.06722134747030861,0.7142857142857143,0.1777047993783485,-0.17091043117530336,0.8965307435304657
SOXX,10,0.011428330026911982,0.019385608014864886,0.7,0.05733227316141298,-0.06171754525312323,0.11179376295840959
TSM,14,0.0068368650145143916,-2.74362545724105e-05,0.5,0.12330905435470685,-0.046668853724627146,0.08894215467646327
