Date,current_ma50,ma20_plus_ma50,ma50_plus_positive_5d
2021-01-04,10000.0,10000.0,10000
2021-01-05,10000.0,10000.0,10000
2021-01-06,10000.0,10000.0,10000
2021-01-07,10000.0,10000.0,10000
2021-01-08,10000.0,10000.0,10000
2021-01-11,10000.0,10000.0,10000
2021-01-12,10000.0,10000.0,10000
2021-01-13,10000.0,10000.0,10000
2021-01-14,10000.0,10000.0,10000
2021-01-15,10000.0,10000.0,10000
2021-01-19,10000.0,10000.0,10000
2021-01-20,10000.0,10000.0,10000
2021-01-21,10000.0,10000.0,10000
2021-01-22,10000.0,10000.0,10000
2021-01-25,10000.0,10000.0,10000
2021-01-26,10000.0,10000.0,10000
2021-01-27,10000.0,10000.0,10000
2021-01-28,10000.0,10000.0,10000
2021-01-29,10000.0,10000.0,10000
2021-02-01,10000.0,10000.0,10000
2021-02-02,10000.0,10000.0,10000
2021-02-03,10000.0,10000.0,10000
2021-02-04,10000.0,10000.0,10000
2021-02-05,10000.0,10000.0,10000
2021-02-08,10000.0,10000.0,10000
2021-02-09,10000.0,10000.0,10000
2021-02-10,10000.0,10000.0,10000
2021-02-11,10000.0,10000.0,10000
2021-02-12,10000.0,10000.0,10000
2021-02-16,10000.0,10000.0,10000
2021-02-17,10000.0,10000.0,10000
2021-02-18,10000.0,10000.0,10000
2021-02-19,10000.0,10000.0,10000
2021-02-22,10000.0,10000.0,10000
2021-02-23,10000.0,10000.0,10000
2021-02-24,10000.0,10000.0,10000
2021-02-25,10000.0,10000.0,10000
2021-02-26,10000.0,10000.0,10000
2021-03-01,10000.0,10000.0,10000
2021-03-02,10000.0,10000.0,10000
2021-03-03,10000.0,10000.0,10000
2021-03-04,10000.0,10000.0,10000
2021-03-05,10000.0,10000.0,10000
2021-03-08,10000.0,10000.0,10000
2021-03-09,10000.0,10000.0,10000
2021-03-10,10000.0,10000.0,10000
2021-03-11,10000.0,10000.0,10000
2021-03-12,10000.0,10000.0,10000
2021-03-15,10000.0,10000.0,10000
2021-03-16,10000.0,10000.0,10000
2021-03-17,10000.0,10000.0,10000
2021-03-18,10000.0,10000.0,10000
2021-03-19,10000.0,10000.0,10000
2021-03-22,10000.0,10000.0,10000
2021-03-23,10000.0,10000.0,10000
2021-03-24,10000.0,10000.0,10000
2021-03-25,10000.0,10000.0,10000
2021-03-26,10000.0,10000.0,10000
2021-03-29,10000.0,10000.0,10000
2021-03-30,10000.0,10000.0,10000
2021-03-31,10000.0,10000.0,10000
2021-04-01,10000.0,10000.0,10000
2021-04-05,10000.0,10000.0,10000
2021-04-06,10000.0,10000.0,10000
2021-04-07,10000.0,10000.0,10000
2021-04-08,10000.0,10000.0,10000
2021-04-09,10000.0,10000.0,10000
2021-04-12,10000.0,10000.0,10000
2021-04-13,10000.0,10000.0,10000
2021-04-14,10000.0,10000.0,10000
2021-04-15,10000.0,10000.0,10000
2021-04-16,10000.0,10000.0,10000
2021-04-19,10000.0,10000.0,10000
2021-04-20,10000.0,10000.0,10000
2021-04-21,10000.0,10000.0,10000
2021-04-22,10000.0,10000.0,10000
2021-04-23,10000.0,10000.0,10000
2021-04-26,10000.0,10000.0,10000
2021-04-27,10000.0,10000.0,10000
2021-04-28,10000.0,10000.0,10000
2021-04-29,10000.0,10000.0,10000
2021-04-30,10000.0,10000.0,10000
2021-05-03,9431.183730885432,9431.183730885432,10000
2021-05-04,8791.2,8791.2,10000
2021-05-05,8791.2,8791.2,10000
2021-05-06,8791.2,8791.2,10000
2021-05-07,8791.2,8791.2,10000
2021-05-10,8791.2,8791.2,10000
2021-05-11,9717.554427410321,8791.2,10000
2021-05-12,8513.073026259628,8791.2,10000
2021-05-13,8876.231295412352,8791.2,10000
2021-05-14,9663.080062331392,8791.2,10000
2021-05-17,9402.482206380337,8791.2,10000
2021-05-18,9402.482206380335,8791.2,10000
2021-05-19,9402.482206380335,8791.2,10000
2021-05-20,9402.482206380335,8791.2,10000
2021-05-21,9402.482206380335,8791.2,10000
2021-05-24,9402.482206380335,8791.2,10000
2021-05-25,9402.482206380335,8791.2,10000
2021-05-26,9402.482206380335,8791.2,10000
2021-05-27,9402.482206380335,8791.2,10000
2021-05-28,9402.482206380335,8791.2,10000
2021-06-01,9402.482206380335,8791.2,10000
2021-06-02,9402.482206380335,8791.2,10000
2021-06-03,9402.482206380335,8791.2,10000
2021-06-04,9402.482206380335,8791.2,10000
2021-06-07,9402.482206380335,8791.2,10000
2021-06-08,9402.482206380335,8791.2,10000
2021-06-09,9402.482206380335,8791.2,10000
2021-06-10,9402.482206380335,8791.2,10000
2021-06-11,9402.482206380335,8791.2,10000
2021-06-14,9402.482206380335,8791.2,10000
2021-06-15,9402.482206380335,8791.2,10000
2021-06-16,9402.482206380335,8791.2,10000
2021-06-17,9402.482206380335,8791.2,10000
2021-06-18,9402.482206380335,8791.2,10000
2021-06-21,9402.482206380335,8791.2,10000
2021-06-22,9402.482206380335,8791.2,10000
2021-06-23,9402.482206380335,8791.2,10000
2021-06-24,9402.482206380335,8791.2,10000
2021-06-25,9402.482206380335,8791.2,10000
2021-06-28,9402.482206380335,8791.2,10000
2021-06-29,9402.482206380335,8791.2,10000
2021-06-30,9402.482206380335,8791.2,10000
2021-07-01,9402.482206380335,8791.2,10000
2021-07-02,9402.482206380335,8791.2,10000
2021-07-06,9402.482206380335,8791.2,10000
2021-07-07,9402.482206380335,8791.2,10000
2021-07-08,9402.482206380335,8791.2,10000
2021-07-09,9402.482206380335,8791.2,10000
2021-07-12,9402.482206380335,8791.2,10000
2021-07-13,9402.482206380335,8791.2,10000
2021-07-14,9402.482206380335,8791.2,10000
2021-07-15,9402.482206380335,8791.2,10000
2021-07-16,9402.482206380335,8791.2,10000
2021-07-19,9827.929949190057,9188.988170665274,10000
2021-07-20,10228.092782165815,9563.135275657327,10000
2021-07-21,11164.462273213328,10438.628713348808,10000
2021-07-22,10868.34911924857,10161.766720739184,10000
2021-07-23,11073.348420523644,10353.438432294937,10000
2021-07-26,11073.348420523644,10353.438432294937,10000
2021-07-27,11073.348420523644,10353.438432294937,10000
2021-07-28,11073.348420523644,10353.438432294937,10000
2021-07-29,11073.348420523644,10353.438432294937,10000
2021-07-30,11073.348420523644,10353.438432294937,10000
2021-08-02,11073.348420523644,10353.438432294937,10000
2021-08-03,11073.348420523644,10353.438432294937,10000
2021-08-04,11073.348420523644,10353.438432294937,10000
2021-08-05,11073.348420523644,10353.438432294937,10000
2021-08-06,11073.348420523644,10353.438432294937,10000
2021-08-09,11073.348420523644,10353.438432294937,10000
2021-08-10,11073.348420523644,10353.438432294937,10000
2021-08-11,11073.348420523644,10353.438432294937,10000
2021-08-12,11073.348420523644,10353.438432294937,10000
2021-08-13,11073.348420523644,10353.438432294937,10000
2021-08-16,11073.348420523644,10353.438432294937,10000
2021-08-17,11073.348420523644,10353.438432294937,10000
2021-08-18,11073.348420523644,10353.438432294937,10000
2021-08-19,11482.40984330773,10353.438432294937,10000
2021-08-20,11714.20185281652,10353.438432294937,10000
2021-08-23,12658.756712413735,10353.438432294937,10000
2021-08-24,12670.34602808342,10353.438432294937,10000
2021-08-25,12961.59981899764,10353.438432294937,10000
2021-08-26,12961.599818997638,10353.438432294937,10000
2021-08-27,12961.599818997638,10353.438432294937,10000
2021-08-30,12961.599818997638,10353.438432294937,10000
2021-08-31,12961.599818997638,10353.438432294937,10000
2021-09-01,12961.599818997638,10353.438432294937,10000
2021-09-02,12961.599818997638,10353.438432294937,10000
2021-09-03,12961.599818997638,10353.438432294937,10000
2021-09-07,12961.599818997638,10353.438432294937,10000
2021-09-08,12961.599818997638,10353.438432294937,10000
2021-09-09,12961.599818997638,10353.438432294937,10000
2021-09-10,12961.599818997638,10353.438432294937,10000
2021-09-13,12961.599818997638,10353.438432294937,10000
2021-09-14,12961.599818997638,10353.438432294937,10000
2021-09-15,12961.599818997638,10353.438432294937,10000
2021-09-16,12961.599818997638,10353.438432294937,10000
2021-09-17,12961.599818997638,10353.438432294937,10000
2021-09-20,12961.599818997638,10353.438432294937,10000
2021-09-21,12961.599818997638,10353.438432294937,10000
2021-09-22,12961.599818997638,10353.438432294937,10000
2021-09-23,12961.599818997638,10353.438432294937,10000
2021-09-24,12961.599818997638,10353.438432294937,10000
2021-09-27,12961.599818997638,10353.438432294937,10000
2021-09-28,12961.599818997638,10353.438432294937,10000
2021-09-29,12961.599818997638,10353.438432294937,10000
2021-09-30,12961.599818997638,10353.438432294937,10000
2021-10-01,12961.599818997638,10353.438432294937,10000
2021-10-04,12961.599818997638,10353.438432294937,10000
2021-10-05,12961.599818997638,10353.438432294937,10000
2021-10-06,12961.599818997638,10353.438432294937,10000
