strategy,signal_date,entry_date,exit_date,z_window,z_threshold,signal_z_score,entry_price,exit_price,position_return,account_return,capital_before,capital_after,exit_reason,year
Current 20D,2021-04-30,2021-05-03,2021-05-04,20,-1.75,-1.937871115205396,36.632462055867364,32.20433004255412,-0.12087999999999999,-0.060439999999999994,10000.0,9395.6,stop,2021
Current 20D,2021-05-10,2021-05-11,2021-05-17,20,-1.75,-2.0759202586874115,28.183293496078416,30.142981676101684,0.06953368243835478,0.03476684121917739,9395.6,9722.255333358902,time_exit,2021
Current 20D,2021-07-16,2021-07-19,2021-07-23,20,-1.75,-1.8581953713459074,34.19482547851832,40.27140626907349,0.17770468793217153,0.08885234396608577,9722.255333358902,10586.10050836462,time_exit,2021
Current 20D,2021-08-18,2021-08-19,2021-08-25,20,-1.75,-1.7912262993524908,37.07919486399215,43.40200819015503,0.1705218613660624,0.0852609306830312,10586.10050836462,11488.681290011897,time_exit,2021
Current 20D,2021-12-16,2021-12-17,2021-12-23,20,-1.75,-1.8239801652261292,55.686777231531465,65.35154470825195,0.17355587730525035,0.08677793865262518,11488.681290011897,12485.64537019611,time_exit,2021
Current 20D,2022-08-22,2022-08-23,2022-08-29,20,-1.75,-1.8369105807571877,16.615895715491366,14.607366241402769,-0.1208800000000001,-0.06044000000000005,12485.64537019611,11731.012964021458,stop,2022
Current 20D,2023-04-25,2023-04-26,2023-05-02,20,-1.75,-2.2701574445929524,13.360814472170603,14.048798581123352,0.051492677365272854,0.025746338682636427,11731.012964021458,12033.043596883554,time_exit,2023
Current 20D,2024-07-19,2024-07-22,2024-07-24,20,-1.75,-1.9878642580260584,49.54495919421819,43.55596452682109,-0.12087999999999999,-0.060439999999999994,12033.043596883554,11305.76644188791,stop,2024
Current 20D,2024-10-31,2024-11-01,2024-11-07,20,-1.75,-2.4674410996757676,30.434152483291562,35.836388786315915,0.17750572505642137,0.08875286252821069,11305.76644188791,12309.185576680844,time_exit,2024
Current 20D,2024-11-15,2024-11-18,2024-11-22,20,-1.75,-2.237718086483645,26.47741575195834,28.19604178619385,0.0649091304958036,0.0324545652479018,12309.185576680844,12708.674843127765,time_exit,2024
Current 20D,2024-12-19,2024-12-20,2024-12-26,20,-1.75,-1.8050432595159551,25.604750189263072,30.69497452688857,0.19879999999999987,0.09939999999999993,12708.674843127765,13971.917122534664,target,2024
