signal_date,entry_date,exit_date,entry_price,exit_price,return,capital_before,capital_after,exit_reason
2021-07-16,2021-07-19,2021-07-23,34.19482547851832,40.271410079956055,0.1777047993783485,10000.0,11777.047993783484,5_day_hold
2021-08-18,2021-08-19,2021-08-25,37.07919486399215,43.40201962280273,0.1705221696965895,11777.047993783484,13785.29577030431,5_day_hold
2021-09-20,2021-09-21,2021-09-27,42.77023792796671,46.22246143341064,0.08071555531811958,13785.29577030431,14897.983573628948,5_day_hold
2021-09-28,2021-09-29,2021-10-05,41.33291214835003,37.460647911071774,-0.09368476683617455,14897.983573628948,13502.269456204362,5_day_hold
2021-12-16,2021-12-17,2021-12-23,55.68676980434422,65.35153708648681,0.17355589695900497,13502.269456204362,15845.667942658087,5_day_hold
2022-01-18,2022-01-19,2022-01-25,55.8363174530754,38.9627339515686,-0.3021972843335753,15845.667942658087,11057.150121935221,5_day_hold
2022-01-27,2022-01-28,2022-02-03,35.32998041547217,41.32822497940064,0.16977774947482382,11057.150121935221,12934.408185242657,5_day_hold
2022-03-07,2022-03-08,2022-03-14,28.82156643623526,27.057723541259765,-0.06119871724799597,12934.408185242657,12142.838995943826,5_day_hold
2022-04-11,2022-04-12,2022-04-19,27.24307130349832,27.877078536987305,0.023272237789414563,12142.838995943826,12425.430032496008,5_day_hold
2022-05-09,2022-05-10,2022-05-16,20.84036425526385,20.721151874542237,-0.005720263775692014,12425.430032496008,12354.353295183726,5_day_hold
2022-06-13,2022-06-14,2022-06-21,15.554972961353483,14.350633818626404,-0.07742470177989214,12354.353295183726,11397.821175620698,5_day_hold
2022-08-22,2022-08-23,2022-08-29,16.615895715491366,14.61180217552185,-0.12061303069572438,11397.821175620698,10023.095420301182,5_day_hold
2022-09-23,2022-09-26,2022-09-30,9.672278157691364,8.630186591148377,-0.10774003286023359,10023.095420301182,8943.206790356677,5_day_hold
2022-10-10,2022-10-11,2022-10-17,7.622653280283723,7.139874272346496,-0.06333477205187232,8943.206790356677,8376.79082687668,5_day_hold
2022-12-16,2022-12-19,2022-12-23,10.853250941145637,9.55053378582001,-0.12003013312692434,8376.79082687668,7371.3235087502735,5_day_hold
2023-04-25,2023-04-26,2023-05-02,13.36081544464878,14.04879762840271,0.05149252952442196,7371.3235087502735,7750.891602158663,5_day_hold
2023-08-09,2023-08-10,2023-08-16,23.245590695749268,20.13011256980896,-0.13402447658643535,7750.891602158663,6712.082412101151,5_day_hold
2023-09-20,2023-09-21,2023-09-27,17.477869553505503,17.364379789352416,-0.0064933408391484315,6712.082412101151,6668.498573258925,5_day_hold
2023-10-20,2023-10-23,2023-10-27,16.090271495904496,14.830435366630555,-0.0782980032123517,6668.498573258925,6146.368450548335,5_day_hold
2024-04-15,2024-04-16,2024-04-22,39.238730682849614,31.594259124755858,-0.19481954245362443,6146.368450548335,4948.935761261116,5_day_hold
2024-07-19,2024-07-22,2024-07-26,49.54495919421819,41.41408416366577,-0.16411104505463547,4948.935761261116,4136.760741572296,5_day_hold
2024-08-02,2024-08-05,2024-08-09,23.282668078567237,30.635753562927245,0.31581799214536166,4136.760741572296,5443.224212961416,5_day_hold
2024-09-06,2024-09-09,2024-09-13,26.90573594293628,33.02655266189575,0.22749114656967429,5443.224212961416,6681.509530203822,5_day_hold
2024-10-31,2024-11-01,2024-11-07,30.434150582705534,35.83638497543335,0.17750567337330847,6681.509530203822,7867.515378512829,5_day_hold
2024-11-15,2024-11-18,2024-11-22,26.47741390963322,28.196041786193852,0.06490920459325333,7867.515378512829,8378.189543857285,5_day_hold
2024-12-19,2024-12-20,2024-12-27,25.604750189263072,29.466771051406855,0.15083220236857686,8378.189543857285,9641.890324618662,5_day_hold
2025-01-27,2025-01-28,2025-02-03,25.29927517544904,25.417449182510374,0.004671043191625257,9641.890324618662,9686.928010773869,5_day_hold
2025-02-27,2025-02-28,2025-03-06,21.679409900817337,19.085416276931763,-0.11965240916394948,9686.928010773869,8527.863736887031,5_day_hold
2025-03-28,2025-03-31,2025-04-04,15.033168276256932,8.691263606071471,-0.421860818268211,8527.863736887031,4930.292162764064,5_day_hold
2025-07-31,2025-08-01,2025-08-07,23.596724056565943,24.96774598503113,0.058102214747207226,4930.292162764064,5216.753056771455,5_day_hold
2025-11-17,2025-11-18,2025-11-24,35.345311374664306,35.824140609741214,0.013547178294774698,5216.753056771455,5287.425340551348,5_day_hold
2026-03-03,2026-03-04,2026-03-10,56.01595908355712,54.535410152435304,-0.026430841412771855,5287.425340551348,5147.674239893364,5_day_hold
2026-03-27,2026-03-30,2026-04-06,47.90786061096191,54.755191371917725,0.14292708281340083,5147.674239893364,5883.416302275013,5_day_hold
