signal_date,entry_date,exit_date,z_score,qqq_trend,entry_price,exit_price,return,capital_before,capital_after,exit_reason,period
2021-04-30,2021-05-03,2021-05-04,-1.937871237623348,0.04160929113014822,36.63244992155621,32.204319375038494,-0.12087999999999999,10000.0,8791.2,stop,2021-2022
2021-05-10,2021-05-11,2021-05-17,-2.0759185873307096,2.255477283741314e-05,28.183300398178496,30.142981676101684,0.06953342050918354,8791.2,9402.482206380335,time_exit,2021-2022
2021-07-16,2021-07-19,2021-07-23,-1.8581934293991849,0.0480244542400019,34.19482547851832,40.271410079956055,0.1777047993783485,9402.482206380335,11073.348420523644,time_exit,2021-2022
2021-08-18,2021-08-19,2021-08-25,-1.7912264386155408,0.011657272815078334,37.07919486399215,43.40201962280273,0.1705221696965895,11073.348420523644,12961.599818997638,time_exit,2021-2022
2021-12-16,2021-12-17,2021-12-23,-1.823981078872049,0.0007616622749619939,55.68676980434422,65.35153708648681,0.17355589695900497,12961.599818997638,15211.16190160745,time_exit,2021-2022
2022-08-22,2022-08-23,2022-08-29,-1.8369111918635432,0.04516405800493106,16.615895715491366,14.607366241402769,-0.1208800000000001,15211.16190160745,13372.43665094114,stop,2021-2022
2023-04-25,2023-04-26,2023-05-02,-2.270155142466491,0.0118196824384591,13.36081544464878,14.04879762840271,0.05149252952442196,10000.0,10514.92529524422,time_exit,2023-2024
2024-07-19,2024-07-22,2024-07-24,-1.987863946540271,0.0111875559059893,49.54495919421819,43.55596452682109,-0.12087999999999999,10514.92529524422,9243.881125555099,stop,2023-2024
2024-10-31,2024-11-01,2024-11-07,-2.467441973371459,0.0052104468618552335,30.434150582705534,35.83638497543335,0.17750567337330847,9243.881125555099,10884.722469329574,time_exit,2023-2024
2024-11-15,2024-11-18,2024-11-22,-2.2377183883416953,0.015060231388922984,26.47741390963322,28.196041786193852,0.06490920459325333,10884.722469329574,11591.24114703207,time_exit,2023-2024
2024-12-19,2024-12-20,2024-12-26,-1.80504257149592,0.015188131679471306,25.604750189263072,30.69497452688857,0.19879999999999987,11591.24114703207,13895.579887062044,target,2023-2024
2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,0.04249138262473506,23.596724056565943,24.96774598503113,0.058102214747207226,10000.0,10581.022147472073,time_exit,2025-2026
2021-04-30,2021-05-03,2021-05-04,-1.937871237623348,0.04160929113014822,36.63244992155621,32.204319375038494,-0.12087999999999999,10000.0,8791.2,stop,Full Modern Era
2021-05-10,2021-05-11,2021-05-17,-2.0759185873307096,2.255477283741314e-05,28.183300398178496,30.142981676101684,0.06953342050918354,8791.2,9402.482206380335,time_exit,Full Modern Era
2021-07-16,2021-07-19,2021-07-23,-1.8581934293991849,0.0480244542400019,34.19482547851832,40.271410079956055,0.1777047993783485,9402.482206380335,11073.348420523644,time_exit,Full Modern Era
2021-08-18,2021-08-19,2021-08-25,-1.7912264386155408,0.011657272815078334,37.07919486399215,43.40201962280273,0.1705221696965895,11073.348420523644,12961.599818997638,time_exit,Full Modern Era
2021-12-16,2021-12-17,2021-12-23,-1.823981078872049,0.0007616622749619939,55.68676980434422,65.35153708648681,0.17355589695900497,12961.599818997638,15211.16190160745,time_exit,Full Modern Era
2022-08-22,2022-08-23,2022-08-29,-1.8369111918635432,0.04516405800493106,16.615895715491366,14.607366241402769,-0.1208800000000001,15211.16190160745,13372.43665094114,stop,Full Modern Era
2023-04-25,2023-04-26,2023-05-02,-2.270155142466491,0.0118196824384591,13.36081544464878,14.04879762840271,0.05149252952442196,13372.43665094114,14061.017240003188,time_exit,Full Modern Era
2024-07-19,2024-07-22,2024-07-24,-1.987863946540271,0.0111875559059893,49.54495919421819,43.55596452682109,-0.12087999999999999,14061.017240003188,12361.321476031602,stop,Full Modern Era
2024-10-31,2024-11-01,2024-11-07,-2.467441973371459,0.0052104468618552335,30.434150582705534,35.83638497543335,0.17750567337330847,12361.321476031602,14555.526168418532,time_exit,Full Modern Era
2024-11-15,2024-11-18,2024-11-22,-2.2377183883416953,0.015060231388922984,26.47741390963322,28.196041786193852,0.06490920459325333,14555.526168418532,15500.313794446864,time_exit,Full Modern Era
2024-12-19,2024-12-20,2024-12-26,-1.80504257149592,0.015188131679471306,25.604750189263072,30.69497452688857,0.19879999999999987,15500.313794446864,18581.7761767829,target,Full Modern Era
2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,0.04249138262473506,23.596724056565943,24.96774598503113,0.058102214747207226,18581.7761767829,19661.418526590878,time_exit,Full Modern Era
