strategy,accepted_signals,executed_trades,final_capital,total_return,max_drawdown,win_rate,avg_position_return,median_position_return,best_trade,worst_trade
Current 20D,14,12,14377.81678707651,0.43778167870765095,-0.1549007798327059,0.75,0.06495715472554532,0.06722140646707919,0.19879999999999987,-0.1208800000000001
Fast 5D,35,32,17400.318820755117,0.7400318820755118,-0.16656577073764622,0.625,0.037583494546930975,0.05332710910244409,0.30615797310446546,-0.2094850928407329
