year,trades,assets,avg_return,median_return,win_rate
2021,26,7,0.039481972295848995,0.02634588511043312,0.6923076923076923
2022,9,7,-0.08989831713787437,-0.06171754525312323,0.0
2023,15,6,0.020335017417968584,0.012990543682957156,0.7333333333333333
2024,24,7,0.01806341872874954,0.02153531211949611,0.625
2025,12,5,0.03252445430112791,0.02884630500800689,0.8333333333333334
2026,4,2,-0.0033051932173925602,-0.006019155016352251,0.5
