Date,Close,High,Low,Open,Volume,return_1d,ma_20,std_20,z_score,signal
2010-04-08,0.67242830991745,0.6845575069084536,0.650140433961872,0.6845575069084536,4470000,-0.03544927353091332,0.6386245638132095,0.03659342406451535,0.9237655936389925,False
2010-04-09,0.6903185248374939,0.6906223904495667,0.6646956155961999,0.6801607160273468,1254000,0.026605386263764297,0.6430972933769226,0.03719704941966148,1.2694886341068576,False
2010-04-12,0.7076030969619751,0.7254944067516327,0.6924418605652931,0.7007802721796609,2400000,0.025038545979263915,0.6491771548986435,0.03731167630072875,1.5658889617401213,False
2010-04-13,0.7212488651275635,0.7247367053986049,0.7024488291339271,0.7115459303395916,2904000,0.019284494689431275,0.6568642169237137,0.03538782378154846,1.8194011759892559,False
2010-04-14,0.8140393495559692,0.816617436046656,0.7659765753464384,0.7659765753464384,6504000,0.12865252053047516,0.6668861895799637,0.04845892755709961,3.036657379646167,False
2010-04-15,0.8210140466690063,0.8398150564722224,0.8117650137009651,0.8285946923365582,12666000,0.008568009785818731,0.6761500924825669,0.05879748871774197,2.463777915445685,False
2010-04-16,0.7906907200813293,0.8111592514143928,0.7536955067516574,0.8111592514143928,4452000,-0.03693399243375173,0.6846710801124573,0.06250502424733184,1.6961778872263658,False
2010-04-19,0.764005184173584,0.7873546881791615,0.7203390306688241,0.7641570627689107,5712000,-0.03374965107090233,0.6932678490877151,0.06090177518114184,1.1614987391660236,False
2010-04-20,0.8010002970695496,0.8066104780799028,0.780834715201948,0.7862929634119242,2922000,0.04842259406391691,0.7015765577554702,0.06377660455103137,1.5589374820750235,False
2010-04-21,0.7759833335876465,0.8243499166699318,0.7405046337946509,0.8066105938849298,5772000,-0.031232152564021898,0.7065875589847564,0.0655541127559768,1.0586029111737612,False
2010-04-22,0.819801390171051,0.822378609030622,0.7253424962467655,0.7608211970509888,6594000,0.05646778053958723,0.7156619250774383,0.06811704784279614,1.528831157421133,False
2010-04-23,0.8234400749206543,0.8332949934733674,0.7902356558112947,0.8332949934733674,3600000,0.004438495461497105,0.725077423453331,0.06940212178686378,1.4172859407583853,False
2010-04-26,0.8307179808616638,0.8533088532702441,0.8249558657946795,0.830868991904241,3846000,0.008838416009459893,0.7353571474552154,0.0690431298732917,1.3811777302311627,False
2010-04-27,0.7447502017021179,0.824652818331154,0.7423239940714721,0.7959969448020681,5112000,-0.10348611820148113,0.7404970079660416,0.06545695719751041,0.06497695459999356,False
2010-04-28,0.7596086263656616,0.7997878680401563,0.7218556469691249,0.7599115702566676,6864000,0.01995088370514697,0.7457657426595687,0.06231346738289879,0.22214914828976276,False
2010-04-29,0.785687267780304,0.7884163652523308,0.7509663331903343,0.759911500382726,5838000,0.034331681486313936,0.7528463423252105,0.05805010319708285,0.5657341442373829,False
2010-04-30,0.6797060370445251,0.7656737321107091,0.6780376495112356,0.7656737321107091,10104000,-0.13488984113894742,0.754521769285202,0.05522483340148085,-1.3547479934755342,False
2010-05-03,0.7297399640083313,0.7405045826529255,0.689257840470273,0.689257840470273,4926000,0.07361112633538158,0.7559621632099152,0.054118121895840816,-0.48453638601969184,False
2010-05-04,0.6331586837768555,0.7145778075826138,0.6016217807191135,0.7145778075826138,19164000,-0.1323502685819372,0.7531041711568832,0.059051670578321516,-2.0311954971865096,True
2010-05-05,0.6128422617912292,0.6421040281472065,0.5835795736442814,0.6231520057908514,7920000,-0.03208740953284683,0.7488892108201981,0.0658711491370011,-2.0653495621582936,True
2010-05-06,0.5606849193572998,0.6328559509047987,0.3790465679822791,0.6064742918796416,17448000,-0.08510728728381556,0.7433020412921906,0.07656830943173674,-2.385022253856867,True
2010-05-07,0.5265705585479736,0.5623531184220187,0.4678942418761289,0.5458264411884809,12372000,-0.060844084853273195,0.7351146429777146,0.09009235815155514,-2.3147810614405713,True
2010-05-10,0.6186032891273499,0.6210294965331045,0.5884309098462648,0.6186032891273499,7206000,0.17477758504607221,0.7306646525859832,0.09365052310276036,-1.196590897155708,False
2010-05-11,0.6067770719528198,0.639071794766775,0.5781211995468153,0.585550778948192,27720000,-0.019117611209621965,0.7249410629272461,0.09766814787600026,-1.2098518661831044,False
2010-05-12,0.6560535430908203,0.6592375175395156,0.6167840007345966,0.6167840007345966,42330000,0.08121017325096291,0.7170417726039886,0.09646414251661613,-0.6322373052003541,False
2010-05-13,0.6046547293663025,0.6648466364912248,0.5963153967049096,0.6384650388414563,28992000,-0.07834545558944184,0.7062238067388534,0.09632219262294107,-1.0544722312349046,False
2010-05-14,0.5494653582572937,0.5904023639260806,0.5164128640720561,0.5904023639260806,15846000,-0.0912741907548611,0.6941625386476517,0.10021303597402989,-1.4438957864509372,False
2010-05-17,0.572208046913147,0.5775143623501118,0.5185351008654646,0.5377909296115561,19140000,0.04139057779362987,0.6845726817846298,0.10233227479524146,-1.0980371060480707,False
2010-05-18,0.5255099534988403,0.5961635447882135,0.5177774292306506,0.5863086783157602,16128000,-0.08161034027086089,0.6707981646060943,0.10435688015786015,-1.3922245556543775,False
2010-05-19,0.5338484048843384,0.5496173202418531,0.4973089363969448,0.5229318513859671,21306000,0.015867351950197506,0.6586914181709289,0.10555035241872379,-1.1827815864728877,False
2010-05-20,0.4903340637683868,0.5241452942426785,0.4587971621884157,0.4927602712444591,10638000,-0.08151066991645173,0.6422180518507957,0.10478976465782792,-1.4494162533751145,False
2010-05-21,0.5223259925842285,0.5449168106617284,0.4583423701469163,0.4700176112676024,11220000,0.0652451689160094,0.6271623477339745,0.09884496112716826,-1.0606140561365545,False
2010-05-24,0.4915467202663421,0.5320288972974936,0.4915467202663421,0.5120152470999667,10944000,-0.058927322696702755,0.6102037847042083,0.09085588527678297,-1.3059920562811078,False
2010-05-25,0.5026150941848755,0.5027670269605365,0.4321125115313129,0.4496999503310168,10818000,0.02251744028021596,0.5980970293283463,0.08807358268880724,-1.0841154887594353,False
2010-05-26,0.5000381469726562,0.5491625621422298,0.4971571160873014,0.5279353404344639,14250000,-0.005127078836337895,0.585118505358696,0.08193157290269679,-1.0384318934909567,False
2010-05-27,0.5761497616767883,0.5769084495644802,0.5312709764642571,0.5388516196988732,10578000,0.15221161658351257,0.5746416300535202,0.06696431952857661,0.022521420868385614,False
2010-05-28,0.548403799533844,0.5828218502258803,0.5250551578635902,0.5828218502258803,9288000,-0.048157552061107056,0.5680765181779861,0.062402792601066626,-0.31525381836526734,False
2010-06-01,0.5111055970191956,0.5650823623877214,0.5111055970191956,0.5449167774491954,4530000,-0.06801229777465578,0.5571447998285294,0.050632124596693175,-0.909288385112338,False
2010-06-02,0.5656881332397461,0.5662948883946033,0.5132287549157513,0.5292996872953327,11094000,0.10679307082309375,0.5537712723016739,0.04744852779908083,0.2511534391232062,False
2010-06-03,0.5873702168464661,0.5940411080555523,0.5594721113630087,0.5758469106853683,9102000,0.03832868736797557,0.5524976700544357,0.04610226563519767,0.7564172023122051,False
2010-06-04,0.5109545588493347,0.5735726764542548,0.5026152257954514,0.5722081007106835,13650000,-0.13009794471262026,0.5500111520290375,0.046970372877573614,-0.8315155019420906,False
2010-06-07,0.4539456963539123,0.5258128453619938,0.450306845816125,0.5183832114725361,18312000,-0.11157325344900704,0.5463799089193344,0.051469712329218376,-1.7958952631050353,False
2010-06-08,0.4489423334598541,0.4586462435273717,0.4155859728923915,0.4565229794424835,12504000,-0.01102194146622637,0.5378968611359596,0.05290115754710424,-1.681523274739283,False
2010-06-09,0.439997136592865,0.4898793377011645,0.4343869543182952,0.4612234603626522,8634000,-0.019925046493279863,0.5295578643679619,0.054589960619413146,-1.6406080304671913,False
2010-06-10,0.4883628785610199,0.4900313203154741,0.4562200797576019,0.4633458497154621,9504000,0.10992285618646735,0.5211733311414719,0.04640274174051839,-0.7070800420355823,False
2010-06-11,0.509286105632782,0.5114093693904033,0.4669845839036168,0.4712301896280661,6510000,0.04284360665047515,0.5164048999547959,0.042070415871731354,-0.16921140840913998,False
