z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate,compounded_return
5,-1.75,1,2023,1,0.01511061136016778,0.01511061136016778,1.0,0.01511061136016778
5,-1.75,1,2024,1,-0.014759221616523543,-0.014759221616523543,0.0,-0.014759221616523543
5,-1.75,2,2023,1,0.023497083563796206,0.023497083563796206,1.0,0.023497083563796206
5,-1.75,2,2024,1,-0.039906361040035865,-0.039906361040035865,0.0,-0.039906361040035865
5,-1.75,3,2023,1,0.07884855337007957,0.07884855337007957,1.0,0.07884855337007957
5,-1.75,3,2024,1,-0.026769871576244775,-0.026769871576244775,0.0,-0.026769871576244775
5,-1.75,5,2023,1,0.08086125734728,0.08086125734728,1.0,0.08086125734728
5,-1.75,5,2024,1,0.06668737632676192,0.06668737632676192,1.0,0.06668737632676192
5,-1.5,1,2021,9,-0.01653802724375275,-0.02171005146748295,0.4444444444444444,-0.14581361549222416
5,-1.5,1,2022,2,0.02701294143548494,0.02701294143548494,1.0,0.05454813011517379
5,-1.5,1,2023,7,0.012829440871652529,0.01511061136016778,0.5714285714285714,0.09106296162418515
5,-1.5,1,2024,9,-0.007803350433419632,-0.010367622524128595,0.4444444444444444,-0.07114079922808347
5,-1.5,1,2025,7,0.023705403937965403,0.021757731111422984,0.7142857142857143,0.16907905147391555
5,-1.5,1,2026,1,0.001887521536889647,0.001887521536889647,1.0,0.001887521536889647
5,-1.5,2,2021,9,-0.007043527649382431,-0.018346396697396128,0.4444444444444444,-0.08033564969010387
5,-1.5,2,2022,2,0.025950269330837994,0.025950269330837994,1.0,0.05249885785446473
5,-1.5,2,2023,7,0.031464666712265395,-0.006387398450275139,0.42857142857142855,0.2103776352332445
5,-1.5,2,2024,9,-0.017506120622643524,-0.01707265470386432,0.3333333333333333,-0.15985640803240353
5,-1.5,2,2025,7,-0.0025496847226149804,-0.00684722242924507,0.2857142857142857,-0.03293381617174407
5,-1.5,2,2026,1,-0.04435931861327369,-0.04435931861327369,0.0,-0.04435931861327369
5,-1.5,3,2021,9,0.009772617841741858,0.0014699521249228464,0.5555555555555556,0.07340472584963331
5,-1.5,3,2022,2,0.12935044373492122,0.12935044373492122,1.0,0.27543221042057553
5,-1.5,3,2023,7,0.05417086721768224,0.04269465477710899,0.5714285714285714,0.41328324395946425
5,-1.5,3,2024,9,0.018728828558081986,0.020224592620532222,0.5555555555555556,0.17319139893456525
5,-1.5,3,2025,7,0.022295730207586666,0.016821225975117482,0.5714285714285714,0.11865949717354374
5,-1.5,3,2026,1,-0.14400788611058224,-0.14400788611058224,0.0,-0.14400788611058224
5,-1.5,5,2021,9,0.03518026789010805,0.04453630532500896,0.6666666666666666,0.33406326595311264
5,-1.5,5,2022,2,-0.007430236910786536,-0.007430236910786536,0.5,-0.027615610209986374
5,-1.5,5,2023,7,0.0433778958106419,0.055862872452395074,0.7142857142857143,0.30688213067116776
5,-1.5,5,2024,9,0.01787764939022407,0.05487553320330951,0.5555555555555556,0.11010897569950284
5,-1.5,5,2025,7,0.06782362658493331,0.0516957418845545,0.7142857142857143,0.5294539007881651
5,-1.5,5,2026,1,0.11200791478136041,0.11200791478136041,1.0,0.11200791478136041
5,-1.25,1,2021,18,0.0022044621993391558,0.017083080266759976,0.6111111111111112,0.01650252543080999
5,-1.25,1,2022,6,0.011772384945178682,0.017988635161305,0.6666666666666666,0.06564551192873469
