strategy,starting_capital,final_capital,total_return,max_drawdown,trades,win_rate,avg_trade,median_trade
Baseline,10000,9705.294958716044,-0.02947050412839558,-0.6156795539819002,37,0.4864864864864865,0.00780467269711656,-0.0064933408391484315
QQQ Filter,10000,15168.975127417069,0.5168975127417068,-0.2895311800038183,8,0.75,0.06032568989964947,0.06150570967023028
Z Band,10000,13301.213411187151,0.33012134111871516,-0.5655945884992659,27,0.5185185185185185,0.01930909193712331,0.004671043191625257
Combined,10000,11504.677751812113,0.15046777518121135,-0.31607085402126756,5,0.6,0.037739622341242396,0.058102214747207226
