z_window,hold_days,threshold_tests,avg_trades,avg_return_across_thresholds,median_return_across_thresholds,avg_win_rate,avg_quality_score,avg_positive_year_ratio
3,6,2,116.0,0.05122256924531662,0.046926299204607724,0.6280637254901962,3.89952232618046,0.9166666666666667
3,5,2,116.0,0.037741396306372674,0.0428977226813933,0.6243872549019608,3.6932129497675548,0.9166666666666667
3,7,2,116.0,0.04126409726343269,0.03365925546089782,0.5658700980392157,3.0381192921581732,0.8333333333333333
3,4,2,116.0,0.02849933455872819,0.0326692028038581,0.6614583333333333,2.9300514300205935,0.9166666666666667
5,4,8,54.5,0.036400120116020576,0.050517669474080096,0.7006443214937796,2.8213945785449166,0.875
7,4,10,42.7,0.039285230359869194,0.05939757916932703,0.7372575736816466,2.573014252624771,0.8833333333333334
6,4,9,47.77777777777778,0.034453960683442225,0.04585942504997731,0.7062472214567299,2.568447199663566,0.8333333333333334
4,5,5,78.6,0.0332633451039335,0.0516957418845545,0.6206414771104978,2.5416527699931493,0.9333333333333333
4,6,5,78.6,0.03938482788748729,0.029632527484021676,0.6019196725992195,2.5383249073021643,0.8333333333333334
4,4,5,78.8,0.03376358976764789,0.02939334464240262,0.6288481798883561,2.490926476435187,0.8666666666666668
3,3,2,116.0,0.020862849131911103,0.012448249970737013,0.5444240196078431,2.270923175930512,0.8333333333333334
8,4,10,40.6,0.032698424802021064,0.04820887059585294,0.6869852139562502,2.1919265313239022,0.8633333333333335
5,5,8,54.5,0.02739687159075426,0.052552969431150065,0.6259695122988467,1.9841778070817835,0.7875000000000001
4,3,5,78.8,0.023421899020771166,0.017570687727342493,0.6018801268443535,1.8764029411066663,0.7666666666666667
5,6,8,54.5,0.028025919694448252,0.04751547780815646,0.6698084117250139,1.8144611819633496,0.7666666666666666
6,5,9,47.666666666666664,0.02662714039970173,0.05173724963263471,0.6459200810530383,1.7721216440195304,0.7777777777777778
3,2,2,116.0,0.010630494248716222,0.007500714787595952,0.553921568627451,1.5494229397404138,0.8333333333333334
10,4,11,32.54545454545455,0.028354200184848,0.035271999948717214,0.6806739854033634,1.5290587217174734,0.712121212121212
3,1,2,116.0,0.006253156987679526,0.009828463005605248,0.5768995098039216,1.5101574262015238,0.75
7,5,10,42.6,0.029354666770929037,0.051573588530144154,0.6625990312791783,1.459939644506434,0.7966666666666666
4,2,5,78.8,0.012559985501717982,0.002581541056415393,0.5048119611080535,1.4393777051921322,0.8
6,6,9,47.666666666666664,0.02595677683189447,0.029632527484021676,0.6573185327818688,1.4326140477512557,0.7648148148148147
4,7,5,78.6,0.023368463416283156,0.001352842102580798,0.501466324037943,1.4157572212358418,0.7333333333333333
5,3,8,54.5,0.015119351509988839,0.014176939459290605,0.5334001895292529,1.367106639724229,0.6625
8,5,10,40.5,0.024240498231167758,0.048014397218850036,0.6089938295368623,1.2796894620431583,0.7500000000000001
8,1,10,40.6,0.007623040150001982,0.011642137369052008,0.6453695878172878,1.194839250733649,0.7466666666666667
4,1,5,78.8,0.006244429969489735,0.012015034173460615,0.6051686453337527,1.138491714711487,0.6666666666666667
7,1,10,42.7,0.006689677609420073,0.006301258957544242,0.5792465366581415,1.126556875327482,0.7266666666666666
7,3,10,42.7,0.013961118334483847,0.01642654269391608,0.5604055256160435,1.0351046106162456,0.755
8,3,10,40.6,0.01680544770579364,0.0069389327014006685,0.5585210106974238,1.0316640838725342,0.6333333333333333
5,7,8,54.5,0.011980120754886279,0.010075708681156592,0.5080644909785776,1.0067102480290848,0.6375
7,6,10,42.6,0.019778999286546063,0.0265188774808357,0.6062374533146592,0.9930885783314668,0.6599999999999999
10,5,11,32.36363636363637,0.024999238664927002,0.044546052466010067,0.6687758400913766,0.9514576047715743,0.7272727272727273
8,6,10,40.5,0.019339539155826698,0.029846897801446726,0.6034360661102465,0.9333199549362041,0.7866666666666666
6,3,9,47.77777777777778,0.01011025362515073,0.00866303529902579,0.4951481457927872,0.9149533073021523,0.6074074074074074
6,7,9,47.666666666666664,0.014373076176325697,0.016175061869305507,0.573110668094552,0.8757470264200298,0.6351851851851852
8,7,10,40.5,0.01856700407797351,0.02747562965367034,0.5989522175075453,0.8414461339646611,0.73
10,3,11,32.54545454545455,0.014442070675210516,0.01407465087309423,0.5836951338567035,0.8219882641811644,0.5939393939393939
7,7,10,42.6,0.01606406063349409,0.024911589306571336,0.5450745798319327,0.8046450935156763,0.6316666666666666
10,6,11,32.36363636363637,0.022832982515956116,0.038787690339122216,0.6216745608381936,0.8019503056073635,0.6515151515151515
10,7,11,32.36363636363637,0.019848442847281187,0.040253635747041216,0.6273385013829579,0.6497000330540411,0.6212121212121211
5,1,8,54.5,0.002876154058910027,0.012777155538716334,0.5539193713922816,0.6387687918013472,0.6583333333333333
5,2,8,54.5,0.0012979457159289108,-0.004292516625589049,0.42806012840358815,0.5670746780661617,0.5916666666666667
6,1,9,47.77777777777778,0.0022372659258438204,0.007313607882735829,0.5646003495117113,0.41426347533496255,0.5296296296296297
10,1,11,32.63636363636363,0.0005424656772254035,0.002554610193488571,0.5604819480154384,0.296373849308504,0.603030303030303
8,2,10,40.6,0.002529304691419535,0.001635362963037873,0.5235372767677943,0.22909950011028343,0.5799999999999998
7,2,10,42.7,-0.001274363984554301,-0.002676801265857287,0.45697855519019204,0.0955310596080512,0.6066666666666667
10,2,11,32.54545454545455,0.000844480033677801,0.005650199474425133,0.5319481302703681,0.09059343121177049,0.4939393939393939
6,2,9,47.77777777777778,-0.0025574154788936317,-0.006617349181343768,0.40747138899838337,0.025371423122589516,0.43333333333333335
