feature,median_split,low_trades,low_avg_return,low_win_rate,high_trades,high_avg_return,high_win_rate
z_score,-1.9061214223578855,19,-0.020797812675382592,0.42105263157894735,18,0.037996185034754576,0.5555555555555556
soxl_return_1d,-0.09774430188699323,19,0.01714284452900671,0.5263157894736842,18,-0.0020522864587674706,0.4444444444444444
soxl_return_5d,-0.14639199603439812,19,-0.005779753650105498,0.47368421052631576,18,0.022143789396962085,0.5
soxl_return_10d,-0.18789025366027357,19,0.018244946101072412,0.47368421052631576,18,-0.003215615895947929,0.5
volatility_20d,0.06662514928619623,19,0.0018365270233554785,0.47368421052631576,18,0.014104382019419937,0.5
volume_ratio,1.3541852617983026,19,-0.0024392840420378635,0.42105263157894735,18,0.0186177381440018,0.5555555555555556
qqq_trend,-0.022997131242132318,19,-0.012171899993350343,0.3684210526315789,18,0.028891054981498306,0.6111111111111112
soxx_trend,-0.046611665731484564,19,0.01492752671603622,0.47368421052631576,18,0.00028610456603471907,0.5
vix_level,22.790000915527344,19,-0.0030652759072005227,0.47368421052631576,18,0.019278507335006825,0.5
vix_change_5d,0.159447290550085,19,-0.003648565599164135,0.47368421052631576,18,0.019894202009857302,0.5
