signal_date,entry_date,exit_date,entry_price,exit_price,return,capital_before,capital_after,exit_reason
2021-07-16,2021-07-19,2021-07-23,34.19482547851832,40.271410079956055,0.1777047993783485,10000.0,11777.047993783484,time_exit
2021-08-18,2021-08-19,2021-08-25,37.07919486399215,43.40201962280273,0.1705221696965895,11777.047993783484,13785.29577030431,time_exit
2021-09-20,2021-09-21,2021-09-27,42.77023792796671,46.22246143341064,0.08071555531811958,13785.29577030431,14897.983573628948,time_exit
2021-09-28,2021-09-29,2021-10-04,41.33291214835003,36.33658972785748,-0.1208800000000001,14897.983573628948,13097.11531924868,stop
2021-12-16,2021-12-17,2021-12-23,55.68676980434422,65.35153708648681,0.17355589695900497,13097.11531924868,15370.19691605641,time_exit
2022-01-18,2022-01-19,2022-01-20,55.8363174530754,49.086823399347644,-0.1208800000000001,15370.19691605641,13512.247512843509,stop
2022-01-27,2022-01-28,2022-01-31,35.32998041547217,42.353580522068036,0.19879999999999987,13512.247512843509,16198.482318396796,target
2022-03-07,2022-03-08,2022-03-09,28.82156643623526,34.55129384375883,0.1988000000000001,16198.482318396796,19418.74060329408,target
2022-03-14,2022-03-15,2022-03-16,27.636454532427532,33.13058169347413,0.1988000000000001,19418.74060329408,23279.186235228946,target
2022-04-11,2022-04-12,2022-04-19,27.24307130349832,27.877078536987305,0.023272237789414563,23279.186235228946,23820.94499283926,time_exit
2022-05-09,2022-05-10,2022-05-12,20.84036425526385,18.321181024087554,-0.1208800000000001,23820.94499283926,20941.469162104848,stop
2022-06-13,2022-06-14,2022-06-16,15.554972961353483,13.674687829785075,-0.12087999999999999,20941.469162104848,18410.064369789616,stop
2022-08-22,2022-08-23,2022-08-29,16.615895715491366,14.607366241402769,-0.1208800000000001,18410.064369789616,16184.655788769445,stop
2022-09-23,2022-09-26,2022-09-30,9.672278157691364,8.630186591148377,-0.10774003286023359,16184.655788769445,14440.920442255856,time_exit
2022-10-10,2022-10-11,2022-10-13,7.622653280283723,6.701226951763027,-0.12087999999999999,14440.920442255856,12695.301979195969,stop
2022-10-14,2022-10-17,2022-10-21,7.2908098728234245,8.3574531583786,0.14629969840951418,12695.301979195969,14552.620829970047,time_exit
2022-12-16,2022-12-19,2022-12-22,10.853250941145637,9.541309967379952,-0.12087999999999999,14552.620829970047,12793.500024043267,stop
2023-04-25,2023-04-26,2023-05-02,13.36081544464878,14.04879762840271,0.05149252952442196,12793.500024043267,13452.269701752008,time_exit
2023-08-09,2023-08-10,2023-08-14,23.245590695749268,20.435663692447097,-0.12087999999999999,13452.269701752008,11826.159340204225,stop
2023-08-16,2023-08-17,2023-08-23,20.25883978544203,22.159792436599734,0.09383324372423951,11826.159340204225,12935.8462318953,time_exit
2023-09-20,2023-09-21,2023-09-27,17.477869553505503,17.364379789352416,-0.0064933408391484315,12935.8462318953,12851.849373268791,time_exit
2023-10-20,2023-10-23,2023-10-27,16.090271495904496,14.830435366630555,-0.0782980032123517,12851.849373268791,11845.575229755932,time_exit
2024-04-15,2024-04-16,2024-04-18,39.238730682849614,34.49555291790675,-0.1208800000000001,11845.575229755932,10413.682095983033,stop
2024-07-19,2024-07-22,2024-07-24,49.54495919421819,43.55596452682109,-0.12087999999999999,10413.682095983033,9154.876204220604,stop
2024-08-02,2024-08-05,2024-08-05,23.282668078567237,27.911262492586403,0.19879999999999987,9154.876204220604,10974.86559361966,target
2024-09-06,2024-09-09,2024-09-12,26.90573594293628,32.254596248392005,0.19879999999999987,10974.86559361966,13156.668873631246,target
2024-10-31,2024-11-01,2024-11-07,30.434150582705534,35.83638497543335,0.17750567337330847,13156.668873631246,15492.05224139481,time_exit
2024-11-15,2024-11-18,2024-11-22,26.47741390963322,28.196041786193852,0.06490920459325333,15492.05224139481,16497.629029900872,time_exit
2024-12-19,2024-12-20,2024-12-26,25.604750189263072,30.69497452688857,0.19879999999999987,16497.629029900872,19777.357681045163,target
2025-01-27,2025-01-28,2025-02-03,25.29927517544904,25.417449182510374,0.004671043191625257,19777.357681045163,19869.738572989547,time_exit
2025-02-27,2025-02-28,2025-03-04,21.679409900817337,19.05880283200654,-0.12087999999999999,19869.738572989547,17467.88457428657,stop
2025-03-06,2025-03-07,2025-03-10,19.392131772720763,17.048010884034277,-0.12087999999999999,17467.88457428657,15356.36668694681,stop
2025-03-28,2025-03-31,2025-04-03,15.033168276256932,13.215958895022995,-0.12087999999999999,15356.36668694681,13500.08908182868,stop
2025-07-31,2025-08-01,2025-08-07,23.596724056565943,24.96774598503113,0.058102214747207226,13500.08908182868,14284.47415676752,time_exit
2025-11-17,2025-11-18,2025-11-20,35.345311374664306,31.072770135694885,-0.12087999999999999,14284.47415676752,12557.766920697462,stop
2026-03-03,2026-03-04,2026-03-06,56.01595908355712,49.24474994953674,-0.12087999999999999,12557.766920697462,11039.784055323553,stop
2026-03-27,2026-03-30,2026-03-30,47.90786061096191,42.11675842030884,-0.12087999999999988,11039.784055323553,9705.294958716044,stop
