strategy,accepted_signals,executed_trades,starting_capital,final_capital,total_return,max_drawdown,win_rate,avg_trade,median_trade,best_trade,worst_trade
Current MA50,14,12,10000,19661.418526590878,0.9661418526590879,-0.2895311800038183,0.75,0.06495715906510978,0.06722131255121844,0.19879999999999987,-0.1208800000000001
MA20 + MA50,4,3,10000,10954.996135460126,0.09549961354601244,-0.12087999999999988,0.6666666666666666,0.03830900470851858,0.058102214747207226,0.1777047993783485,-0.12087999999999999
MA50 + Positive 5D,0,0,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
