z_window,z_threshold,hold_days,stop_level,trades,avg_position_return,median_position_return,win_rate,best_trade,worst_trade,avg_mae,median_mae,worst_mae,avg_mfe,median_mfe,best_mfe,stop_exits,fixed_exits,final_capital_50pct,total_return_50pct,trade_sequence_max_drawdown_50pct,return_to_drawdown
5,-1.5,4,None,35,0.04941784127528705,0.06135446869742256,0.7142857142857143,0.24214612989888917,-0.10928818456953604,-0.06868191091504716,-0.05744602052934822,-0.25267021834250625,0.09928319665088813,0.09576118321052118,0.36427469591050765,0,35,22824.15986099034,1.2824159860990343,-0.08596946710889475,14.917109867328122
6,-1.7,4,None,20,0.05516522320998531,0.07063520018195923,0.8,0.15474564923690926,-0.10686804998402133,-0.06490249504114756,-0.04428739143485244,-0.17271315421996924,0.08543394571979514,0.08754909571930247,0.18739507680980827,0,20,17025.70854602118,0.7025708546021179,-0.053434024992010665,13.14837979559213
6,-1.7,4,-0.15,20,0.0485926756688031,0.07063520018195923,0.8,0.15474564923690926,-0.15084999999999993,-0.06490249504114756,-0.04428739143485244,-0.17271315421996924,0.08543394571979514,0.08754909571930247,0.18739507680980827,2,18,15879.045924380012,0.5879045924380013,-0.07542499999999996,7.794558733019577
5,-1.5,4,-0.15,35,0.03959911500325656,0.059088183081012824,0.6857142857142857,0.24214612989888917,-0.15084999999999993,-0.06868191091504716,-0.05744602052934822,-0.25267021834250625,0.09928319665088813,0.09576118321052118,0.36427469591050765,3,32,19095.607231759324,0.9095607231759324,-0.14516106937499984,6.265872296836222
6,-1.7,5,None,20,0.05233250141122762,0.06459601080699195,0.8,0.17770467368376797,-0.2094850807875681,-0.06905269229732862,-0.04428739143485244,-0.22068329054528968,0.10232309304840222,0.0999975653571622,0.18739507680980827,0,20,16484.324601067,0.6484324601067002,-0.10474254039378406,6.190726878199542
6,-1.7,5,-0.08,20,0.03996136599583204,0.06459601080699195,0.7,0.17770467368376797,-0.08091999999999999,-0.06905269229732862,-0.04428739143485244,-0.22068329054528968,0.10232309304840222,0.0999975653571622,0.18739507680980827,6,14,14588.877975218924,0.45888779752189235,-0.07928298839999992,5.7879730164395875
5,-1.5,4,-0.08,35,0.031052890885355504,0.047181860063820746,0.5714285714285714,0.24214612989888917,-0.08091999999999999,-0.06868191091504716,-0.05744602052934822,-0.25267021834250625,0.09928319665088813,0.09576118321052118,0.36427469591050765,11,24,16506.967274683993,0.6506967274683992,-0.11653519868933593,5.583692607784982
6,-1.7,5,-0.15,20,0.04303309032546978,0.06459601080699195,0.8,0.17770467368376797,-0.15085000000000004,-0.06905269229732862,-0.04428739143485244,-0.22068329054528968,0.10232309304840222,0.0999975653571622,0.18739507680980827,3,17,14977.403301931901,0.4977403301931902,-0.09140008443117176,5.445731623672737
5,-1.5,5,None,35,0.03865940852527514,0.05177875738071491,0.6571428571428571,0.30615797310446546,-0.2094850807875681,-0.07462808161723941,-0.05744602052934822,-0.25267021834250625,0.11299890679172615,0.10190117481506222,0.36427469591050765,0,35,18736.874664526436,0.8736874664526437,-0.1609214502684586,5.429279098560863
6,-1.7,4,-0.08,20,0.03712071382418885,0.06542133952540141,0.65,0.15474564923690926,-0.08091999999999999,-0.06490249504114756,-0.04428739143485244,-0.17271315421996924,0.08543394571979514,0.08754909571930247,0.18739507680980827,6,14,14192.089946559789,0.41920899465597894,-0.07928298839999992,5.287502440510673
6,-1.7,5,-0.1,20,0.041586999864095676,0.06459601080699195,0.75,0.17770467368376797,-0.1009000000000001,-0.06905269229732862,-0.04428739143485244,-0.22068329054528968,0.10232309304840222,0.0999975653571622,0.18739507680980827,5,15,14800.369413855622,0.4800369413855623,-0.09835479749999998,4.88066625713466
5,-1.5,4,-0.1,35,0.032166253645294136,0.059088183081012824,0.6,0.24214612989888917,-0.1009000000000001,-0.06868191091504716,-0.05744602052934822,-0.25267021834250625,0.09928319665088813,0.09576118321052118,0.36427469591050765,8,27,16783.630986157983,0.6783630986157982,-0.1438427979661251,4.716003221624988
6,-1.7,4,-0.1,20,0.039882098310841614,0.07063520018195923,0.7,0.15474564923690926,-0.1009000000000001,-0.06490249504114756,-0.04428739143485244,-0.17271315421996924,0.08543394571979514,0.08754909571930247,0.18739507680980827,5,15,14557.248224670655,0.4557248224670656,-0.09835479749999998,4.633478325925745
6,-1.5,4,None,42,0.027315768809143808,0.028280172044729546,0.6666666666666666,0.24214612989888917,-0.22065425971456543,-0.07976369461845592,-0.06383527742563372,-0.25267021834250625,0.08867417624304176,0.08593521110245883,0.3446683512210096,0,42,16858.481623224554,0.6858481623224555,-0.15611826314460697,4.393132158325243
