Date,Close,High,Low,Open,Volume
2010-03-11,0.6008639335632324,0.6008639335632324,0.5844891342001619,0.5844891342001619,3702000
2010-03-12,0.5860058665275574,0.6052607813394536,0.5860058665275574,0.6013190399094276,4548000
2010-03-15,0.5675076246261597,0.5803955074884969,0.5587143366084959,0.5741794381715686,534000
2010-03-16,0.6135998964309692,0.6142067058743386,0.5737245289556692,0.574634282225337,1260000
2010-03-17,0.6357359886169434,0.6431656234150216,0.6242136021434971,0.6367976206393604,2610000
2010-03-18,0.6202709674835205,0.6375554697583022,0.6114776781863251,0.6357360170739581,1584000
2010-03-19,0.5920698046684265,0.6128421432829536,0.5819119412512425,0.6125382776593922,1596000
2010-03-22,0.634826123714447,0.6371003982071592,0.5770595082211704,0.5803954144591754,3804000
2010-03-23,0.6757633090019226,0.6781895169703027,0.6434685804267647,0.6437723918749004,6114000
2010-03-24,0.6383140683174133,0.6692442173785014,0.6349781615276754,0.6692442173785014,2034000
2010-03-25,0.6351301074028015,0.6754603006134833,0.6345232979094261,0.6659083242787047,2034000
2010-03-26,0.6251235008239746,0.6554469072042589,0.6126904894020127,0.6521109990309009,2322000
2010-03-29,0.6419529914855957,0.649230639354444,0.637404441233942,0.6452879768613194,1380000
2010-03-30,0.6542339324951172,0.6610567564769704,0.6351300361905251,0.6519596578344994,1920000
2010-03-31,0.6440752744674683,0.6640889262656106,0.6405883565777337,0.6592374325814359,1080000
2010-04-01,0.646197497844696,0.6888028799492375,0.6354328805109282,0.662117419334743,1644000
2010-04-05,0.7009320855140686,0.7035093038550082,0.6278523022180839,0.6707597071043094,1500000
2010-04-06,0.6903185248374939,0.7001743658400689,0.6797058393999951,0.6875894277423402,1998000
2010-04-07,0.6971414685249329,0.7115458613805793,0.6748535401972752,0.6939574942561232,3414000
2010-04-08,0.67242830991745,0.6845575069084536,0.650140433961872,0.6845575069084536,4470000
2010-04-09,0.6903185248374939,0.6906223904495667,0.6646956155961999,0.6801607160273468,1254000
