,losers_avg,winners_avg,difference
z_score,-2.0378485377932374,-1.9731966226027775,0.06465191519045987
soxl_return_1d,-0.09386342024638361,-0.10736896250091929,-0.01350554225453568
soxl_return_5d,-0.1608032982822985,-0.17177442400599377,-0.010971125723695269
soxl_return_10d,-0.2019964851842238,-0.20590901090518857,-0.00391252572096476
volatility_20d,0.06493948324757834,0.06415198647913017,-0.0007874967684481649
volume_ratio,1.3348971617911283,1.4975649680311547,0.1626678062400264
qqq_trend,-0.04509983334670745,-0.025521401801011923,0.01957843154569553
soxx_trend,-0.053638732172245365,-0.065385604563029,-0.011746872390783633
vix_level,24.042631550839072,23.37333329518636,-0.6692982556527127
vix_change_5d,0.16192962555264173,0.20085464810075915,0.038925022548117416
