z_window,z_threshold,hold_days,stop_level,signal_date,entry_date,exit_date,signal_z,entry_price,exit_price,position_return,account_return,mae,mfe,worst_day_date,best_day_date,exit_reason
5,-1.5,4,None,2021-01-27,2021-01-28,2021-02-02,-1.652227605376462,33.97682661564093,37.830029136657714,0.1134067805862422,0.0567033902931211,-0.06093790348275063,0.11771803003140269,2021-01-29,2021-02-02,fixed_hold
5,-1.5,4,None,2021-04-19,2021-04-20,2021-04-23,-1.5301654733372843,37.88527048848852,38.914499610900876,0.027166999447056472,0.013583499723528236,-0.05144835914580437,0.04407239273049046,2021-04-20,2021-04-21,fixed_hold
5,-1.5,4,None,2021-04-30,2021-05-03,2021-05-06,-1.5340657262513107,36.63245801109698,34.310656219482425,-0.0633809991923342,-0.0316904995961671,-0.15249117195864725,0.0008549163603861487,2021-05-04,2021-05-03,fixed_hold
5,-1.5,4,None,2021-06-18,2021-06-21,2021-06-24,-1.5633814405215496,36.46736610975757,39.81587623214722,0.09182209958107412,0.04591104979053706,-0.026539348906163718,0.09690563639212413,2021-06-21,2021-06-24,fixed_hold
5,-1.5,4,None,2021-07-08,2021-07-09,2021-07-14,-1.5024615726842836,39.021529670964775,40.86263802337646,0.047181860063820746,0.023590930031910373,-0.02412172939335977,0.11362018186918399,2021-07-09,2021-07-14,fixed_hold
5,-1.5,4,None,2021-07-15,2021-07-16,2021-07-21,-1.6459638002397239,38.87585920329437,40.56216898727417,0.04337678493899122,0.02168839246949561,-0.1337665538087236,0.04442120614513634,2021-07-19,2021-07-21,fixed_hold
5,-1.5,4,None,2021-07-27,2021-07-28,2021-08-02,-1.6579915487648518,38.39997777022574,43.818781551361084,0.14111476349178864,0.07055738174589432,-0.01413711341070012,0.18470320900844084,2021-07-28,2021-08-02,fixed_hold
5,-1.5,4,None,2021-08-10,2021-08-11,2021-08-16,-1.5971490283556768,43.760834016372606,41.68647842788696,-0.04740210361871866,-0.02370105180935933,-0.07859555425026565,0.0003311725284307343,2021-08-12,2021-08-11,fixed_hold
5,-1.5,4,None,2021-08-17,2021-08-18,2021-08-23,-1.630351519681503,39.12836353371473,42.34555532455445,0.08222147568394056,0.04111073784197028,-0.07910427959057098,0.08578436299906955,2021-08-19,2021-08-23,fixed_hold
5,-1.5,4,None,2022-08-09,2022-08-10,2022-08-15,-1.6977631597224447,18.56154851430858,21.145849966049195,0.13922876368576942,0.06961438184288471,-0.037126423723900515,0.15031718434962849,2022-08-10,2022-08-15,fixed_hold
5,-1.5,4,None,2022-08-22,2022-08-23,2022-08-26,-1.5346899186475025,16.615893833778028,15.514723156929016,-0.06627213003795618,-0.03313606501897809,-0.06709213754277321,0.13352707197691305,2022-08-26,2022-08-25,fixed_hold
5,-1.5,4,None,2023-04-19,2023-04-20,2023-04-25,-1.6197567001602127,14.508550279350665,12.922937158584595,-0.10928818456953604,-0.05464409228476802,-0.11042293454979102,0.07397671020934471,2023-04-25,2023-04-20,fixed_hold
5,-1.5,4,None,2023-04-25,2023-04-26,2023-05-01,-1.7032259650326702,13.360814472170603,14.352289647102356,0.07420768973305547,0.037103844866527735,-0.08168180042699691,0.08481823266231547,2023-04-27,2023-05-01,fixed_hold
5,-1.5,4,None,2023-05-24,2023-05-25,2023-05-31,-1.620147000082624,17.81441975929096,20.706066495895385,0.16232056815077067,0.08116028407538534,-0.030154905177355085,0.36427469591050765,2023-05-25,2023-05-30,fixed_hold
