exit_reason,trades,avg_return,median_return,win_rate
target,6,0.1987999999999999,0.1987999999999998,1.0
time_exit,15,0.06867019265288751,0.0649092045932533,0.8
stop,16,-0.12087999999999996,-0.1208799999999999,0.0
