Date,baseline,qqq_filter,z_band,combined
2021-07-06,10000.0,10000.0,10000.0,10000.0
2021-07-07,10000.0,10000.0,10000.0,10000.0
2021-07-08,10000.0,10000.0,10000.0,10000.0
2021-07-09,10000.0,10000.0,10000.0,10000.0
2021-07-12,10000.0,10000.0,10000.0,10000.0
2021-07-13,10000.0,10000.0,10000.0,10000.0
2021-07-14,10000.0,10000.0,10000.0,10000.0
2021-07-15,10000.0,10000.0,10000.0,10000.0
2021-07-16,10000.0,10000.0,10000.0,10000.0
2021-07-19,10452.484496616247,10000.0,10452.484496616247,10000.0
2021-07-20,10878.077254137464,10000.0,10878.077254137464,10000.0
2021-07-21,11873.952035386304,10000.0,11873.952035386304,10000.0
2021-07-22,11559.021203862027,10000.0,11559.021203862027,10000.0
2021-07-23,11777.047993783486,10000.0,11777.047993783486,10000.0
2021-07-26,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-07-27,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-07-28,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-07-29,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-07-30,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-02,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-03,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-04,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-05,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-06,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-09,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-10,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-11,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-12,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-13,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-16,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-17,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-18,11777.047993783484,10000.0,11777.047993783484,10000.0
2021-08-19,12212.104837078017,10000.0,12212.104837078017,10000.0
2021-08-20,12458.626983486867,10000.0,12458.626983486867,10000.0
2021-08-23,13463.20730479421,10000.0,13463.20730479421,10000.0
2021-08-24,13475.533109209797,10000.0,13475.533109209797,10000.0
2021-08-25,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-08-26,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-08-27,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-08-30,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-08-31,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-01,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-02,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-03,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-07,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-08,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-09,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-10,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-13,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-14,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-15,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-16,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-17,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-20,13785.29577030431,10000.0,13785.29577030431,10000.0
2021-09-21,13633.933324982354,10000.0,13633.933324982354,10000.0
2021-09-22,14465.72978247174,10000.0,14465.72978247174,10000.0
2021-09-23,15041.108032742266,10000.0,15041.108032742266,10000.0
2021-09-24,14994.200733729997,10000.0,14994.200733729997,10000.0
2021-09-27,14897.983573628946,10000.0,14897.983573628946,10000.0
2021-09-28,14897.983573628948,10000.0,14897.983573628948,10000.0
2021-09-29,14029.839187478665,10000.0,14897.983573628948,10000.0
2021-09-30,14001.862779718871,10000.0,14897.983573628948,10000.0
2021-10-01,14012.35513572295,10000.0,14897.983573628948,10000.0
2021-10-04,13097.11531924868,10000.0,14897.983573628948,10000.0
2021-10-05,13097.11531924868,10000.0,14897.983573628948,10000.0
2021-10-06,13097.11531924868,10000.0,14897.983573628948,10000.0
2021-10-07,13097.11531924868,10000.0,14897.983573628948,10000.0
2021-10-08,13097.11531924868,10000.0,14897.983573628948,10000.0
