Date,Close,High,Low,Open,Volume
2021-01-04,299.4560546875,305.24555554776396,295.4576227654511,305.0712675012697,45305900
2021-01-05,301.92474365234375,302.1958517702346,298.46849923876596,298.46849923876596,29323400
2021-01-06,297.74237060546875,301.9441029399915,296.2320715928881,297.2195657025458,52809600
2021-01-07,304.9454040527344,305.7779920626543,300.36608136211987,300.39512444280655,30394800
2021-01-08,308.8663330078125,309.21487948228685,305.0421603895947,307.23017070693584,33955800
2021-01-11,304.4032287597656,307.08497153497416,303.7545606025091,305.9135279564242,32746400
2021-01-12,303.91912841796875,305.52621802584207,301.2857811800355,304.44190378881314,29266800
2021-01-13,305.97161865234375,306.7654726708281,303.5803066312761,304.1805499689339,22898400
2021-01-14,304.33544921875,307.4141337446142,303.861039539168,306.41694864804754,23500100
2021-01-15,301.92474365234375,305.08089596114627,300.6855230999575,304.1224448556124,35118700
2021-01-19,306.3298645019531,306.83328778900795,303.14466852170074,304.2386738901535,24537000
2021-01-20,313.4553527832031,314.3944517891422,306.42666132440587,309.9410218264804,30728100
2021-01-21,315.962890625,316.70837906675666,313.4167013248198,314.7914467748411,25130600
2021-01-22,315.0528259277344,316.0596724734222,314.365423740635,314.9269627231851,21609400
2021-01-25,317.6571044921875,319.7967199017761,311.1705698585587,318.43163593412686,39080600
2021-01-26,318.121826171875,319.25456548964087,316.79547615092645,318.3735525859016,25498100
2021-01-27,309.25360107421875,315.8756890037456,307.249539984331,315.86602767429855,55264000
2021-01-28,311.0834045410156,316.02093480896673,309.83449304813007,310.4541181298361,42836300
2021-01-29,304.5387878417969,310.50254694314407,302.79614381568024,309.39885072667784,55259000
2021-02-01,312.14837646484375,313.2326908464539,305.9522436350412,307.97565699810855,35646000
2021-02-02,317.24078369140625,318.39287510847345,314.94629173240133,315.11088888284706,33930800
2021-02-03,315.9822082519531,319.68051798841714,315.92412209235215,319.31261928071063,24824500
2021-02-04,319.7192077636719,319.8063369990852,316.0596321495655,317.3763206460709,22350900
