period,start_date,end_date,accepted_signals,executed_trades,final_capital,total_return,max_drawdown,win_rate,avg_trade,median_trade,best_trade,worst_trade
2021-2022,2021-01-04,2022-12-30,7,6,13372.43665094114,0.33724366509411396,-0.22202981847901027,0.6666666666666666,0.05825938109052107,0.12002779510288653,0.1777047993783485,-0.1208800000000001
2023-2024,2023-01-03,2024-12-31,5,5,13895.579887062044,0.3895579887062044,-0.17792368425822913,0.8,0.07436548149819673,0.06490920459325333,0.19879999999999987,-0.12087999999999999
2025-2026,2025-01-02,2026-07-02,2,1,10581.022147472073,0.058102214747207226,-0.04039999410839623,1.0,0.058102214747207226,0.058102214747207226,0.058102214747207226,0.058102214747207226
Full Modern Era,2021-01-04,2026-07-02,14,12,19661.418526590878,0.9661418526590879,-0.2895311800038183,0.75,0.06495715906510978,0.06722131255121844,0.19879999999999987,-0.1208800000000001
