signal_date,entry_date,day,cumulative_return
2022-08-22,2022-08-23,10,-0.27428655993708817
2023-04-19,2023-04-20,1,0.025668033698629245
2023-04-19,2023-04-20,2,0.0027253329397052273
2023-04-19,2023-04-20,3,-0.012794598006098168
2023-04-19,2023-04-20,4,-0.1092884385938443
2023-04-19,2023-04-20,5,-0.0978170882143824
2023-04-19,2023-04-20,6,-0.08634573783492039
2023-04-19,2023-04-20,7,-0.039786010663655724
2023-04-19,2023-04-20,8,-0.010770307722927308
2023-04-19,2023-04-20,9,-0.031688455534096494
2023-04-19,2023-04-20,10,-0.06610224400789821
2023-04-25,2023-04-26,1,-0.02031668787148988
2023-04-25,2023-04-26,2,-0.007859911770405348
2023-04-25,2023-04-26,3,0.04269944501974332
2023-04-25,2023-04-26,4,0.07420768973305547
2023-04-25,2023-04-26,5,0.05149260605819461
2023-04-25,2023-04-26,6,0.014122562983253983
2023-04-25,2023-04-26,7,-0.0034634738653360753
2023-04-25,2023-04-26,8,0.060285695789567884
2023-04-25,2023-04-26,9,0.07347500950477581
2023-04-25,2023-04-26,10,0.021449935722676505
2023-05-24,2023-05-25,1,0.05240848246781438
2023-05-24,2023-05-25,2,0.2573946495496595
2023-05-24,2023-05-25,3,0.25684519287304064
2023-05-24,2023-05-25,4,0.16232056815077067
2023-05-24,2023-05-25,5,0.21782628159009687
2023-05-24,2023-05-25,6,0.2101324976294463
2023-05-24,2023-05-25,7,0.152428422680573
2023-05-24,2023-05-25,8,0.19419515214968275
2023-05-24,2023-05-25,9,0.18924929333581275
2023-05-24,2023-05-25,10,0.22442093827628073
2023-06-21,2023-06-22,1,0.03473275691468136
2023-06-21,2023-06-22,2,-0.01946758050801145
2023-06-21,2023-06-22,3,-0.010508775829327188
2023-06-21,2023-06-22,4,0.09162076185512191
2023-06-21,2023-06-22,5,0.06250479898189432
2023-06-21,2023-06-22,6,0.06653621321137493
2023-06-21,2023-06-22,7,0.1122257775888158
2023-06-21,2023-06-22,8,0.14178933685977158
2023-06-21,2023-06-22,9,0.06832790450939918
2023-06-21,2023-06-22,10,0.02935742187918655
2023-07-20,2023-07-21,1,-0.005589378698569569
2023-07-20,2023-07-21,2,-0.006387475933442466
2023-07-20,2023-07-21,3,0.042694573466460994
2023-07-20,2023-07-21,4,-2.853145255610201e-06
2023-07-20,2023-07-21,5,0.05586302275106658
2023-07-20,2023-07-21,6,0.12330084328065727
2023-07-20,2023-07-21,7,0.1336758746978104
2023-07-20,2023-07-21,8,0.1384644581070471
2023-07-20,2023-07-21,9,0.008776216438345363
2023-07-20,2023-07-21,10,0.003588584411672091
2023-11-28,2023-11-29,1,-0.01220773176966583
2023-11-28,2023-11-29,2,-0.029649370185034662
2023-11-28,2023-11-29,3,-0.018588605619559884
2023-11-28,2023-11-29,4,-0.05091966496143241
2023-11-28,2023-11-29,5,-0.06708502956850326
2023-11-28,2023-11-29,6,-0.08665376348705811
2023-11-28,2023-11-29,7,-0.013909210095575997
2023-11-28,2023-11-29,8,0.008211741311844323
2023-11-28,2023-11-29,9,0.11073455883280436
2023-11-28,2023-11-29,10,0.13370649699897785
2023-12-20,2023-12-21,1,0.01511061136016778
2023-12-20,2023-12-21,2,0.023497213973102005
2023-12-20,2023-12-21,3,0.07884862238379475
2023-12-20,2023-12-21,4,0.08522239101795126
2023-12-20,2023-12-21,5,0.08086139142616
2023-12-20,2023-12-21,6,0.05335341797434401
2023-12-20,2023-12-21,7,-0.05936203801658191
2023-12-20,2023-12-21,8,-0.1194099075261269
2023-12-20,2023-12-21,9,-0.14188602330844247
2023-12-20,2023-12-21,10,-0.1301448705613122
2024-01-02,2024-01-03,1,-0.014759221616523543
2024-01-02,2024-01-03,2,-0.039906433693591925
2024-01-02,2024-01-03,3,-0.026769944229800724
2024-01-02,2024-01-03,4,0.06706270459715591
2024-01-02,2024-01-03,5,0.06668737632676192
2024-01-02,2024-01-03,6,0.05730409691335514
2024-01-02,2024-01-03,7,0.06818847144766993
2024-01-02,2024-01-03,8,0.054676799020596745
2024-01-02,2024-01-03,9,0.09558772580065855
2024-01-02,2024-01-03,10,0.06706270459715591
2024-07-17,2024-07-18,1,-0.04806530262640496
2024-07-17,2024-07-18,2,-0.13393466551885636
2024-07-17,2024-07-18,3,-0.024663128203441298
2024-07-17,2024-07-18,4,-0.06888774617001647
2024-07-17,2024-07-18,5,-0.20948503381322603
2024-07-17,2024-07-18,6,-0.2669770727101105
2024-07-17,2024-07-18,7,-0.22754343429138457
2024-07-17,2024-07-18,8,-0.22957044185445408
2024-07-17,2024-07-18,9,-0.3137813504753644
2024-07-17,2024-07-18,10,-0.18202898642546983
2024-08-22,2024-08-23,1,0.029603738488661602
2024-08-22,2024-08-23,2,-0.0476165640172197
2024-08-22,2024-08-23,3,-0.019072924288204285
2024-08-22,2024-08-23,4,-0.06724015658091065
2024-08-22,2024-08-23,5,-0.07768908504489425
2024-08-22,2024-08-23,6,-0.011427534717942556
2024-08-22,2024-08-23,7,-0.23365871881686084
