Date,buy_hold,fixed_5d,stop_target_5d
2021-07-06,9852.659145961119,10000.0,10000.0
2021-07-07,9440.605371438873,10000.0,10000.0
2021-07-08,9106.383286487522,10000.0,10000.0
2021-07-09,9561.931611096901,10000.0,10000.0
2021-07-12,9919.047222556666,10000.0,10000.0
2021-07-13,9756.51263518349,10000.0,10000.0
2021-07-14,9651.208713802494,10000.0,10000.0
2021-07-15,9023.972891614942,10000.0,10000.0
2021-07-16,8415.0491903951,10000.0,10000.0
2021-07-19,8433.36311152216,10452.484496616247,10452.484496616247
2021-07-20,8776.74350715655,10878.077254137464,10878.077254137464
2021-07-21,9580.243732064611,11873.952035386304,11873.952035386304
2021-07-22,9326.14853985288,11559.021203862027,11559.021203862027
2021-07-23,9511.570353176756,11788.8368306141,11777.047993783486
2021-07-26,9488.678626827686,11777.047993783484,11777.047993783484
2021-07-27,8962.164420400752,11777.047993783484,11777.047993783484
2021-07-28,9426.870155613497,11777.047993783484,11777.047993783484
2021-07-29,9946.514953968395,11777.047993783484,11777.047993783484
2021-07-30,10161.699701872723,11777.047993783484,11777.047993783484
2021-08-02,10349.413118046625,11777.047993783484,11777.047993783484
2021-08-03,10523.391318395152,11777.047993783484,11777.047993783484
2021-08-04,10898.819950902303,11777.047993783484,11777.047993783484
2021-08-05,10798.092034583968,11777.047993783484,11777.047993783484
2021-08-06,10674.476892314935,11777.047993783484,11777.047993783484
2021-08-09,10564.594265632257,11777.047993783484,11777.047993783484
2021-08-10,10175.435817777772,11777.047993783484,11777.047993783484
2021-08-11,10111.334843633882,11777.047993783484,11777.047993783484
2021-08-12,9756.51263518349,11777.047993783484,11777.047993783484
2021-08-13,9953.384362040431,11777.047993783484,11777.047993783484
2021-08-16,9845.789737889083,11777.047993783484,11777.047993783484
2021-08-17,9262.050265948012,11777.047993783484,11777.047993783484
2021-08-18,8849.995591346089,11777.047993783484,11777.047993783484
2021-08-19,9072.046147003757,12212.104837078017,12212.104837078017
2021-08-20,9255.180857875976,12458.626983486867,12458.626983486867
2021-08-23,10001.456717349573,13463.20730479421,13463.20730479421
2021-08-24,10010.613227873266,13475.533109209797,13475.533109209797
2021-08-25,10250.978604737666,13799.094865169482,13785.29577030431
2021-08-26,10228.08777846827,13785.29577030431,13785.29577030431
2021-08-27,10827.851368845724,13785.29577030431,13785.29577030431
2021-08-30,10928.576584925037,13785.29577030431,13785.29577030431
2021-08-31,10656.162971187876,13785.29577030431,13785.29577030431
2021-09-01,10521.101515704473,13785.29577030431,13785.29577030431
2021-09-02,10598.932305195694,13785.29577030431,13785.29577030431
2021-09-03,10814.117053100023,13785.29577030431,13785.29577030431
2021-09-07,10706.524229108021,13785.29577030431,13785.29577030431
2021-09-08,10289.893549443439,13785.29577030431,13785.29577030431
2021-09-09,10427.244807617522,13785.29577030431,13785.29577030431
2021-09-10,10665.31948171157,13785.29577030431,13785.29577030431
2021-09-13,10958.335019107119,13785.29577030431,13785.29577030431
2021-09-14,10958.335019107119,13785.29577030431,13785.29577030431
2021-09-15,11123.155808852278,13785.29577030431,13785.29577030431
2021-09-16,11233.038435534958,13785.29577030431,13785.29577030431
2021-09-17,10701.949124125034,13785.29577030431,13785.29577030431
2021-09-20,9912.176914404958,13785.29577030431,13785.29577030431
2021-09-21,9980.852093452162,13633.933324982354,13633.933324982354
2021-09-22,10589.776694751677,14465.72978247174,14465.72978247174
2021-09-23,11010.98787987729,15041.108032742266,15041.108032742266
2021-09-24,10976.648940234178,14994.200733729997,14994.200733729997
2021-09-27,10917.129371630992,14912.896470099045,14897.983573628946
2021-09-28,9667.234632398222,14897.983573628948,14897.983573628948
2021-09-29,9184.215876138092,14029.839187478665,14029.839187478665
2021-09-30,9165.901955011033,14001.862779718871,14001.862779718871
2021-10-01,9172.770463003395,14012.35513572295,14012.35513572295
2021-10-04,8474.567858918612,12945.778479893366,13097.11531924868
2021-10-05,8847.70578865541,13515.785241445808,13097.11531924868
2021-10-06,8941.563396822035,13502.269456204362,13097.11531924868
2021-10-07,9246.026147511631,13502.269456204362,13097.11531924868
2021-10-08,9003.371868036227,13502.269456204362,13097.11531924868
2021-10-11,8785.898217520895,13502.269456204362,13097.11531924868
2021-10-12,8481.436366910973,13502.269456204362,13097.11531924868
2021-10-13,8618.787625085057,13502.269456204362,13097.11531924868
2021-10-14,9397.111721431414,13502.269456204362,13097.11531924868
2021-10-15,9577.95572953328,13502.269456204362,13097.11531924868
2021-10-18,9811.455298644341,13502.269456204362,13097.11531924868
2021-10-19,10170.855312316742,13502.269456204362,13097.11531924868
2021-10-20,10118.20695194494,13502.269456204362,13097.11531924868
2021-10-21,10436.401318141214,13502.269456204362,13097.11531924868
2021-10-22,10083.865312062804,13502.269456204362,13097.11531924868
2021-10-25,10315.074178403513,13502.269456204362,13097.11531924868
2021-10-26,10292.182452054443,13502.269456204362,13097.11531924868
2021-10-27,10093.023622745844,13502.269456204362,13097.11531924868
2021-10-28,10759.177089878194,13502.269456204362,13097.11531924868
2021-10-29,10907.97556134632,13502.269456204362,13097.11531924868
2021-11-01,11436.775070065565,13502.269456204362,13097.11531924868
2021-11-02,11862.564960492862,13502.269456204362,13097.11531924868
2021-11-03,12286.061447910784,13502.269456204362,13097.11531924868
2021-11-04,13524.514374327553,13502.269456204362,13097.11531924868
2021-11-05,13943.43395660314,13502.269456204362,13097.11531924868
2021-11-08,14545.49185006964,13502.269456204362,13097.11531924868
2021-11-09,14513.443613196881,13502.269456204362,13097.11531924868
2021-11-10,13265.835076336094,13502.269456204362,13097.11531924868
2021-11-11,14110.545449118652,13502.269456204362,13097.11531924868
2021-11-12,14501.995499823162,13502.269456204362,13097.11531924868
2021-11-15,14467.658360339397,13502.269456204362,13097.11531924868
2021-11-16,15142.967437915764,13502.269456204362,13097.11531924868
2021-11-17,14769.831308338313,13502.269456204362,13097.11531924868
2021-11-18,15561.895120908417,13502.269456204362,13097.11531924868
2021-11-19,15706.107686437468,13502.269456204362,13097.11531924868
2021-11-22,14978.148448329952,13502.269456204362,13097.11531924868
2021-11-23,14820.193466338133,13502.269456204362,13097.11531924868
2021-11-24,15310.07983051095,13502.269456204362,13097.11531924868
2021-11-26,14048.736977904462,13502.269456204362,13097.11531924868
2021-11-29,15660.322433579984,13502.269456204362,13097.11531924868
2021-11-30,14804.16664766273,13502.269456204362,13097.11531924868
2021-12-01,14458.50094973603,13502.269456204362,13097.11531924868
2021-12-02,14479.104673553767,13502.269456204362,13097.11531924868
