Date,Close,High,Low,Open,Volume
2021-01-04,120.58524322509766,124.47817861500397,119.71340065687626,121.87862937921979,2487600
2021-01-05,123.05065155029297,123.05065155029297,120.39681510136157,120.4894332032772,1670700
2021-01-06,122.6514663696289,125.06259234727847,121.53691340174522,121.70617113565513,3215100
2021-01-07,127.27893829345703,127.59189994915977,124.44624644630346,124.44624644630346,1809000
2021-01-08,127.34600067138672,129.69325704600078,125.85142157959693,129.10244833463108,2119800
2021-01-11,128.6361846923828,129.65493275218964,126.14522456847646,126.24102229310105,1627500
2021-01-12,129.41539001464844,130.6672655939006,128.28806753270842,129.46329617660757,4503900
2021-01-13,129.626220703125,130.89724759398413,129.11844733144784,130.6130266608308,1200000
2021-01-14,132.37261962890625,133.89273755267502,131.23570714387026,131.23570714387026,1748400
2021-01-15,129.68048095703125,132.37264103746688,128.93637841302413,132.2257356059398,2403900
2021-01-19,134.12908935546875,134.21851323150497,131.50398620098963,131.81376091624344,2517000
2021-01-20,133.6500701904297,136.0420458158211,133.337108521532,135.58536562268324,1851000
2021-01-21,135.58218383789062,136.12508645333676,133.52873805932367,134.91792961593836,2540400
2021-01-22,133.2827911376953,135.0615908130382,133.21253265843285,134.4803722074375,1668300
2021-01-25,133.47438049316406,134.74221984562152,130.90357255406386,134.39731596624821,1683300
2021-01-26,131.30601501464844,133.54788389496292,131.29323808413866,133.54788389496292,1224900
2021-01-27,124.49095916748047,129.03537911460006,123.98318592481016,129.01941526416545,5391300
2021-01-28,127.22142028808594,129.0481406702185,125.99830003606216,126.99788255189729,3369900
2021-01-29,125.00191497802734,128.1060505015154,124.58675254881558,127.64937036749146,2761800
2021-02-01,129.93914794921875,130.33514499657645,126.71047385400207,127.13202475689657,1923300
2021-02-02,132.0469207763672,132.21299164095242,130.26491899992823,132.10760388894582,2429400
2021-02-03,129.3643341064453,132.9315241434504,129.019430107695,132.55149089835595,2767800
2021-02-04,130.424560546875,130.52676134358816,128.04856379548136,128.95553556330873,1832400
2021-02-05,129.53350830078125,131.3985294577188,129.3386968006766,131.3985294577188,1462800
2021-02-08,133.4201202392578,133.51911950483517,130.3990345589335,130.4054084041479,1947300
2021-02-09,133.0272979736328,133.96619734655062,132.28638247315448,133.03368643647383,1383300
2021-02-10,133.2891845703125,134.82846808909292,131.57744176922682,134.12908481158448,2220300
2021-02-11,137.90386962890625,138.0028688929063,134.39095998036123,134.39095998036123,2112600
2021-02-12,139.60922241210938,139.88066634482956,136.7957107275161,137.4982809538517,1925100
2021-02-16,140.31179809570312,141.78402463316158,139.7113994750172,141.27304988300733,3152400
2021-02-17,137.90707397460938,139.6220186183048,136.01649771426273,139.1078568412746,2785200
2021-02-18,136.4891357421875,137.12146216224858,134.78057963889535,136.19532484861955,2247600
2021-02-19,139.77847290039062,140.6087977436677,138.27430402517555,138.55853948994255,2254500
2021-02-22,134.71348571777344,138.93216633094843,134.24084180330846,137.96132465083895,2652000
2021-02-23,133.701171875,134.7103446755836,128.40627468952985,132.2385350128029,4029300
2021-02-24,138.0380096435547,138.1849150905238,131.67007003981786,132.8676513131494,3144900
2021-02-25,130.1754608154297,137.33220601765808,129.63574532720762,136.4284212285697,5339700
2021-02-26,133.1422882080078,134.37179710574134,129.67409774265178,132.30877637369343,4558800
2021-03-01,137.38648986816406,137.53020836306152,134.13546377847135,135.16058553797637,2316600
