strategy,year,trades,avg_return,median_return,win_rate,compounded_position_return
Current 20D,2021,5,0.09408722180836782,0.1705218613660624,0.8,0.5211159925835482
Current 20D,2022,1,-0.1208800000000001,-0.1208800000000001,0.0,-0.1208800000000001
Current 20D,2023,1,0.051492677365272854,0.051492677365272854,1.0,0.051492677365272854
Current 20D,2024,4,0.08008371388805621,0.12120742777611249,0.75,0.3215100573642331
Current 20D,2025,1,0.058102214747207226,0.058102214747207226,1.0,0.058102214747207226
Fast 5D,2021,7,0.03110092625409146,0.044536417486223945,0.5714285714285714,0.21253937490083197
Fast 5D,2022,2,-0.007430082927855575,-0.007430082927855575,0.5,-0.027615339388820437
Fast 5D,2023,6,0.04202552065602788,0.05918378740145047,0.6666666666666666,0.24288336977727032
Fast 5D,2024,9,0.017877675862977924,0.05487546082417327,0.5555555555555556,0.11010927559444195
Fast 5D,2025,7,0.06782362658493331,0.0516957418845545,0.7142857142857143,0.5294539007881651
Fast 5D,2026,1,0.11200791478136041,0.11200791478136041,1.0,0.11200791478136041
