strategy,signal_date,entry_date,exit_date,z_score,qqq_trend,entry_price,exit_price,return,capital_before,capital_after,exit_reason
Baseline,2021-07-16,2021-07-19,2021-07-23,-1.8581934293991849,,34.19482547851832,40.271410079956055,0.1777047993783485,10000.0,11777.047993783484,time_exit
Baseline,2021-08-18,2021-08-19,2021-08-25,-1.7912264386155408,,37.07919486399215,43.40201962280273,0.1705221696965895,11777.047993783484,13785.29577030431,time_exit
Baseline,2021-09-20,2021-09-21,2021-09-27,-1.7882108446312353,-0.009812115267917587,42.77023792796671,46.22246143341064,0.08071555531811958,13785.29577030431,14897.983573628948,time_exit
Baseline,2021-09-28,2021-09-29,2021-10-04,-2.340551985637079,-0.02843554426946826,41.33291214835003,36.33658972785748,-0.1208800000000001,14897.983573628948,13097.11531924868,stop
Baseline,2021-12-16,2021-12-17,2021-12-23,-1.823981078872049,0.0007616622749619939,55.68676980434422,65.35153708648681,0.17355589695900497,13097.11531924868,15370.19691605641,time_exit
Baseline,2022-01-18,2022-01-19,2022-01-20,-1.8871289352931488,-0.05498818614125922,55.8363174530754,49.086823399347644,-0.1208800000000001,15370.19691605641,13512.247512843509,stop
Baseline,2022-01-27,2022-01-28,2022-01-31,-1.8537486774170355,-0.11685526595781015,35.32998041547217,42.353580522068036,0.19879999999999987,13512.247512843509,16198.482318396796,target
Baseline,2022-03-07,2022-03-08,2022-03-09,-2.2764018420148497,-0.10658243250680788,28.82156643623526,34.55129384375883,0.1988000000000001,16198.482318396796,19418.74060329408,target
Baseline,2022-03-14,2022-03-15,2022-03-16,-1.841050675256249,-0.10671675238857259,27.636454532427532,33.13058169347413,0.1988000000000001,19418.74060329408,23279.186235228946,target
Baseline,2022-04-11,2022-04-12,2022-04-19,-1.9709507290716988,-0.023279287577814944,27.24307130349832,27.877078536987305,0.023272237789414563,23279.186235228946,23820.94499283926,time_exit
Baseline,2022-05-09,2022-05-10,2022-05-12,-2.274865364334549,-0.12420134979738684,20.84036425526385,18.321181024087554,-0.1208800000000001,23820.94499283926,20941.469162104848,stop
Baseline,2022-06-13,2022-06-14,2022-06-16,-2.4465291268867113,-0.13141687432529114,15.554972961353483,13.674687829785075,-0.12087999999999999,20941.469162104848,18410.064369789616,stop
Baseline,2022-08-22,2022-08-23,2022-08-29,-1.8369111918635432,0.04516405800493106,16.615895715491366,14.607366241402769,-0.1208800000000001,18410.064369789616,16184.655788769445,stop
Baseline,2022-09-23,2022-09-26,2022-09-30,-1.857484103410753,-0.1012085442201347,9.672278157691364,8.630186591148377,-0.10774003286023359,16184.655788769445,14440.920442255856,time_exit
Baseline,2022-10-10,2022-10-11,2022-10-13,-1.881414730683287,-0.11402153053992536,7.622653280283723,6.701226951763027,-0.12087999999999999,14440.920442255856,12695.301979195969,stop
Baseline,2022-10-14,2022-10-17,2022-10-21,-1.806409726506276,-0.12002325180423612,7.2908098728234245,8.3574531583786,0.14629969840951418,12695.301979195969,14552.620829970047,time_exit
Baseline,2022-12-16,2022-12-19,2022-12-22,-1.8094121085494084,-0.01349548198357986,10.853250941145637,9.541309967379952,-0.12087999999999999,14552.620829970047,12793.500024043267,stop
Baseline,2023-04-25,2023-04-26,2023-05-02,-2.270155142466491,0.0118196824384591,13.36081544464878,14.04879762840271,0.05149252952442196,12793.500024043267,13452.269701752008,time_exit
Baseline,2023-08-09,2023-08-10,2023-08-14,-1.887823678332915,-0.0007481393554674698,23.245590695749268,20.435663692447097,-0.12087999999999999,13452.269701752008,11826.159340204225,stop
Baseline,2023-08-16,2023-08-17,2023-08-23,-1.8761979734322871,-0.019435603615409636,20.25883978544203,22.159792436599734,0.09383324372423951,11826.159340204225,12935.8462318953,time_exit
Baseline,2023-09-20,2023-09-21,2023-09-27,-1.9478156540877032,-0.021500635425211523,17.477869553505503,17.364379789352416,-0.0064933408391484315,12935.8462318953,12851.849373268791,time_exit
Baseline,2023-10-20,2023-10-23,2023-10-27,-1.9680918050185376,-0.03095820323634868,16.090271495904496,14.830435366630555,-0.0782980032123517,12851.849373268791,11845.575229755932,time_exit
Baseline,2024-04-15,2024-04-16,2024-04-18,-2.157967670370161,-0.014952892611754476,39.238730682849614,34.49555291790675,-0.1208800000000001,11845.575229755932,10413.682095983033,stop
Baseline,2024-07-19,2024-07-22,2024-07-24,-1.987863946540271,0.0111875559059893,49.54495919421819,43.55596452682109,-0.12087999999999999,10413.682095983033,9154.876204220604,stop
Baseline,2024-08-02,2024-08-05,2024-08-05,-1.8229626145733344,-0.05227773747042186,23.282668078567237,27.911262492586403,0.19879999999999987,9154.876204220604,10974.86559361966,target
Baseline,2024-09-06,2024-09-09,2024-09-12,-2.1511462750283177,-0.049981330574663696,26.90573594293628,32.254596248392005,0.19879999999999987,10974.86559361966,13156.668873631246,target
Baseline,2024-10-31,2024-11-01,2024-11-07,-2.467441973371459,0.0052104468618552335,30.434150582705534,35.83638497543335,0.17750567337330847,13156.668873631246,15492.05224139481,time_exit
Baseline,2024-11-15,2024-11-18,2024-11-22,-2.2377183883416953,0.015060231388922984,26.47741390963322,28.196041786193852,0.06490920459325333,15492.05224139481,16497.629029900872,time_exit
Baseline,2024-12-19,2024-12-20,2024-12-26,-1.80504257149592,0.015188131679471306,25.604750189263072,30.69497452688857,0.19879999999999987,16497.629029900872,19777.357681045163,target
Baseline,2025-01-27,2025-01-28,2025-02-03,-1.9231148865239327,-0.004634719578046065,25.29927517544904,25.417449182510374,0.004671043191625257,19777.357681045163,19869.738572989547,time_exit
Baseline,2025-02-27,2025-02-28,2025-03-04,-2.598748765406858,-0.04259063306103994,21.679409900817337,19.05880283200654,-0.12087999999999999,19869.738572989547,17467.88457428657,stop
Baseline,2025-03-06,2025-03-07,2025-03-10,-1.8360932303381767,-0.06065932139252217,19.392131772720763,17.048010884034277,-0.12087999999999999,17467.88457428657,15356.36668694681,stop
Baseline,2025-03-28,2025-03-31,2025-04-03,-2.2887367736444517,-0.07552539942480219,15.033168276256932,13.215958895022995,-0.12087999999999999,15356.36668694681,13500.08908182868,stop
Baseline,2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,0.04249138262473506,23.596724056565943,24.96774598503113,0.058102214747207226,13500.08908182868,14284.47415676752,time_exit
Baseline,2025-11-17,2025-11-18,2025-11-20,-1.824434740678191,-0.004236850504096723,35.345311374664306,31.072770135694885,-0.12087999999999999,14284.47415676752,12557.766920697462,stop
Baseline,2026-03-03,2026-03-04,2026-03-06,-1.9811269846378825,-0.022997131242132318,56.01595908355712,49.24474994953674,-0.12087999999999999,12557.766920697462,11039.784055323553,stop
Baseline,2026-03-27,2026-03-30,2026-03-30,-1.9061214223578855,-0.0713117299679411,47.90786061096191,42.11675842030884,-0.12087999999999988,11039.784055323553,9705.294958716044,stop
QQQ Filter,2021-12-16,2021-12-17,2021-12-23,-1.823981078872049,0.0007616622749619939,55.68676980434422,65.35153708648681,0.17355589695900497,10000.0,11735.558969590049,time_exit
QQQ Filter,2022-08-22,2022-08-23,2022-08-29,-1.8369111918635432,0.04516405800493106,16.615895715491366,14.607366241402769,-0.1208800000000001,11735.558969590049,10316.964601346002,stop
QQQ Filter,2023-04-25,2023-04-26,2023-05-02,-2.270155142466491,0.0118196824384591,13.36081544464878,14.04879762840271,0.05149252952442196,10316.964601346002,10848.211205683228,time_exit
QQQ Filter,2024-07-19,2024-07-22,2024-07-24,-1.987863946540271,0.0111875559059893,49.54495919421819,43.55596452682109,-0.12087999999999999,10848.211205683228,9536.87943514024,stop
QQQ Filter,2024-10-31,2024-11-01,2024-11-07,-2.467441973371459,0.0052104468618552335,30.434150582705534,35.83638497543335,0.17750567337330847,9536.87943514024,11229.729641154865,time_exit
QQQ Filter,2024-11-15,2024-11-18,2024-11-22,-2.2377183883416953,0.015060231388922984,26.47741390963322,28.196041786193852,0.06490920459325333,11229.729641154865,11958.642459959507,time_exit
QQQ Filter,2024-12-19,2024-12-20,2024-12-26,-1.80504257149592,0.015188131679471306,25.604750189263072,30.69497452688857,0.19879999999999987,11958.642459959507,14336.020580999455,target
QQQ Filter,2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,0.04249138262473506,23.596724056565943,24.96774598503113,0.058102214747207226,14336.020580999455,15168.975127417069,time_exit
Z Band,2021-07-16,2021-07-19,2021-07-23,-1.8581934293991849,,34.19482547851832,40.271410079956055,0.1777047993783485,10000.0,11777.047993783484,time_exit
Z Band,2021-08-18,2021-08-19,2021-08-25,-1.7912264386155408,,37.07919486399215,43.40201962280273,0.1705221696965895,11777.047993783484,13785.29577030431,time_exit
Z Band,2021-09-20,2021-09-21,2021-09-27,-1.7882108446312353,-0.009812115267917587,42.77023792796671,46.22246143341064,0.08071555531811958,13785.29577030431,14897.983573628948,time_exit
Z Band,2021-12-16,2021-12-17,2021-12-23,-1.823981078872049,0.0007616622749619939,55.68676980434422,65.35153708648681,0.17355589695900497,14897.983573628948,17483.616475630643,time_exit
Z Band,2022-01-18,2022-01-19,2022-01-20,-1.8871289352931488,-0.05498818614125922,55.8363174530754,49.086823399347644,-0.1208800000000001,17483.616475630643,15370.19691605641,stop
Z Band,2022-01-27,2022-01-28,2022-01-31,-1.8537486774170355,-0.11685526595781015,35.32998041547217,42.353580522068036,0.19879999999999987,15370.19691605641,18425.792062968423,target
Z Band,2022-03-14,2022-03-15,2022-03-16,-1.841050675256249,-0.10671675238857259,27.636454532427532,33.13058169347413,0.1988000000000001,18425.792062968423,22088.839525086547,target
Z Band,2022-04-11,2022-04-12,2022-04-19,-1.9709507290716988,-0.023279287577814944,27.24307130349832,27.877078536987305,0.023272237789414563,22088.839525086547,22602.89625100658,time_exit
Z Band,2022-05-11,2022-05-12,2022-05-13,-1.9111368482876392,-0.13501637262730704,17.98392322526281,21.55912716244506,0.1988000000000001,22602.89625100658,27096.35202570669,target
Z Band,2022-08-22,2022-08-23,2022-08-29,-1.8369111918635432,0.04516405800493106,16.615895715491366,14.607366241402769,-0.1208800000000001,27096.35202570669,23820.94499283926,stop
Z Band,2022-09-23,2022-09-26,2022-09-30,-1.857484103410753,-0.1012085442201347,9.672278157691364,8.630186591148377,-0.10774003286023359,23820.94499283926,21254.475596548942,time_exit
Z Band,2022-10-10,2022-10-11,2022-10-13,-1.881414730683287,-0.11402153053992536,7.622653280283723,6.701226951763027,-0.12087999999999999,21254.475596548942,18685.234586438106,stop
Z Band,2022-10-14,2022-10-17,2022-10-21,-1.806409726506276,-0.12002325180423612,7.2908098728234245,8.3574531583786,0.14629969840951418,18685.234586438106,21418.878771145024,time_exit
Z Band,2022-12-16,2022-12-19,2022-12-22,-1.8094121085494084,-0.01349548198357986,10.853250941145637,9.541309967379952,-0.12087999999999999,21418.878771145024,18829.764705289013,stop
Z Band,2023-08-09,2023-08-10,2023-08-14,-1.887823678332915,-0.0007481393554674698,23.245590695749268,20.435663692447097,-0.12087999999999999,18829.764705289013,16553.622747713678,stop
Z Band,2023-08-16,2023-08-17,2023-08-23,-1.8761979734322871,-0.019435603615409636,20.25883978544203,22.159792436599734,0.09383324372423951,16553.622747713678,18106.902865519012,time_exit
