day,observations,avg_cumulative_return,median_cumulative_return,win_rate,p25_return,p75_return,worst_return,best_return,avg_incremental_gain
1,35,0.00264528339944668,0.002554610193488571,0.5714285714285714,-0.025380250184664666,0.027717843434933664,-0.08352353509403143,0.08899392867341338,0.00264528339944668
2,35,-0.00031430242341819853,-0.007859911770405348,0.4,-0.04406280486610087,0.02470317643927422,-0.13393466551885636,0.2573946495496595,-0.0029595858228648785
3,35,0.02589920606129159,0.020224703751799078,0.5714285714285714,-0.02186802624582279,0.06400221079709378,-0.166363958150599,0.25684519287304064,0.02621350848470979
4,35,0.049417869306988875,0.06135446869742256,0.7142857142857143,-0.010212729380528918,0.10288435398951024,-0.1092884385938443,0.24214612989888917,0.023518663245697284
5,35,0.038659445411422355,0.05177875738071491,0.6571428571428571,-0.027244414688447516,0.08992612078130846,-0.20948503381322603,0.30615797310446546,-0.01075842389556652
6,35,0.030997627002496538,0.05335341797434401,0.6571428571428571,-0.05274008910140787,0.10595278766353011,-0.2669770727101105,0.2912142757587206,-0.007661818408925818
7,35,0.011306066343063912,0.008490840776050002,0.5142857142857142,-0.06643619999651074,0.0881515782500043,-0.23365871881686084,0.26383606744790766,-0.019691560659432623
8,35,0.011936134120300396,0.0027095443215323645,0.5428571428571428,-0.055392336211992854,0.12329346082788872,-0.25573188275514547,0.2849970707277574,0.0006300677772364833
9,35,0.013989061385367643,0.026673209384564966,0.5714285714285714,-0.04524765930722141,0.11670667443559124,-0.3137813504753644,0.3233880591191858,0.002052927265067247
10,35,0.024502716760394585,0.02935742187918655,0.6285714285714286,-0.05603338256311591,0.12405522923896906,-0.33840311192956163,0.42516882030916214,0.010513655375026942
