year,events,winning_events,event_win_rate,avg_event_return,median_event_return,avg_assets_triggered
2021,8,7,0.875,0.03694874030268483,0.03132756779042865,2.875
2022,2,0,0.0,-0.06689609598141565,-0.06689609598141565,4.0
2023,6,4,0.6666666666666666,0.02292804471907751,0.01580163840168235,2.1666666666666665
2024,8,6,0.75,0.0206072392278328,0.018837598267355503,2.75
2025,8,6,0.75,0.01566602087749029,0.01010884796937145,1.25
2026,1,0,0.0,-0.006019155016352249,-0.006019155016352249,2.0
