Date,Current 20D,Fast 5D
2021-01-04,10000.0,10000.0
2021-01-05,10000.0,10000.0
2021-01-06,10000.0,10000.0
2021-01-07,10000.0,10000.0
2021-01-08,10000.0,10000.0
2021-01-11,10000.0,10000.0
2021-01-12,10000.0,10000.0
2021-01-13,10000.0,10000.0
2021-01-14,10000.0,10000.0
2021-01-15,10000.0,10000.0
2021-01-19,10000.0,10000.0
2021-01-20,10000.0,10000.0
2021-01-21,10000.0,10000.0
2021-01-22,10000.0,10000.0
2021-01-25,10000.0,10000.0
2021-01-26,10000.0,10000.0
2021-01-27,10000.0,10000.0
2021-01-28,10000.0,10014.032932179809
2021-01-29,10000.0,9766.665246799797
2021-02-01,10000.0,10329.997473316056
2021-02-02,10000.0,10572.606446903163
2021-02-03,10000.0,10222.68208743112
2021-02-04,10000.0,10222.682087431122
2021-02-05,10000.0,10222.682087431122
2021-02-08,10000.0,10222.682087431122
2021-02-09,10000.0,10222.682087431122
2021-02-10,10000.0,10222.682087431122
2021-02-11,10000.0,10222.682087431122
2021-02-12,10000.0,10222.682087431122
2021-02-16,10000.0,10222.682087431122
2021-02-17,10000.0,10222.682087431122
2021-02-18,10000.0,10222.682087431122
2021-02-19,10000.0,10222.682087431122
2021-02-22,10000.0,10222.682087431122
2021-02-23,10000.0,10222.682087431122
2021-02-24,10000.0,10222.682087431122
2021-02-25,10000.0,10222.682087431122
2021-02-26,10000.0,10222.682087431122
2021-03-01,10000.0,10222.682087431122
2021-03-02,10000.0,10222.682087431122
2021-03-03,10000.0,10222.682087431122
2021-03-04,10000.0,10222.682087431122
2021-03-05,10000.0,10222.682087431122
2021-03-08,10000.0,10222.682087431122
2021-03-09,10000.0,10222.682087431122
2021-03-10,10000.0,10222.682087431122
2021-03-11,10000.0,10222.682087431122
2021-03-12,10000.0,10222.682087431122
2021-03-15,10000.0,10222.682087431122
2021-03-16,10000.0,10222.682087431122
2021-03-17,10000.0,10222.682087431122
2021-03-18,10000.0,10222.682087431122
2021-03-19,10000.0,10222.682087431122
2021-03-22,10000.0,10222.682087431122
2021-03-23,10000.0,10222.682087431122
2021-03-24,10000.0,10222.682087431122
2021-03-25,10000.0,10222.682087431122
2021-03-26,10000.0,10222.682087431122
2021-03-29,10000.0,10222.682087431122
2021-03-30,10000.0,10222.682087431122
2021-03-31,10000.0,10222.682087431122
2021-04-01,10000.0,10222.682087431122
2021-04-05,10000.0,10222.682087431122
2021-04-06,10000.0,10222.682087431122
2021-04-07,10000.0,10222.682087431122
2021-04-08,10000.0,10222.682087431122
2021-04-09,10000.0,10222.682087431122
2021-04-12,10000.0,10222.682087431122
2021-04-13,10000.0,10222.682087431122
2021-04-14,10000.0,10222.682087431122
2021-04-15,10000.0,10222.682087431122
2021-04-16,10000.0,10222.682087431122
2021-04-19,10000.0,10222.682087431122
2021-04-20,10000.0,10047.411750047351
2021-04-21,10000.0,10445.334217954827
2021-04-22,10000.0,10082.753277307584
2021-04-23,10000.0,10366.795832345038
2021-04-26,10000.0,10630.916050042699
2021-04-27,10000.0,10630.916050042699
2021-04-28,10000.0,10630.916050042699
2021-04-29,10000.0,10630.916050042699
2021-04-30,10000.0,10630.916050042699
2021-05-03,9715.591865442715,10328.564149799926
2021-05-04,9395.6,10097.687475186427
2021-05-05,9395.6,10179.339123817495
2021-05-06,9395.6,10299.000001521239
2021-05-07,9395.6,10509.19241932983
2021-05-10,9395.6,10509.19241932983
2021-05-11,9890.620910579695,10509.19241932983
2021-05-12,9246.977251341057,10509.19241932983
2021-05-13,9441.04042014983,10509.19241932983
2021-05-14,9861.511467051478,10509.19241932983
2021-05-17,9722.255333358904,10509.19241932983
2021-05-18,9722.255333358902,10509.19241932983
2021-05-19,9722.255333358902,10509.19241932983
2021-05-20,9722.255333358902,10509.19241932983
2021-05-21,9722.255333358902,10509.19241932983
2021-05-24,9722.255333358902,10509.19241932983
2021-05-25,9722.255333358902,10509.19241932983
2021-05-26,9722.255333358902,10509.19241932983
2021-05-27,9722.255333358902,10509.19241932983
2021-05-28,9722.255333358902,10509.19241932983
2021-06-01,9722.255333358902,10509.19241932983
2021-06-02,9722.255333358902,10509.19241932983
2021-06-03,9722.255333358902,10509.19241932983
2021-06-04,9722.255333358902,10509.19241932983
2021-06-07,9722.255333358902,10509.19241932983
2021-06-08,9722.255333358902,10509.19241932983
2021-06-09,9722.255333358902,10509.19241932983
2021-06-10,9722.255333358902,10509.19241932983
2021-06-11,9722.255333358902,10509.19241932983
2021-06-14,9722.255333358902,10509.19241932983
2021-06-15,9722.255333358902,10509.19241932983
2021-06-16,9722.255333358902,10509.19241932983
2021-06-17,9722.255333358902,10509.19241932983
2021-06-18,9722.255333358902,10509.19241932983
2021-06-21,9722.255333358902,10583.62685863527
2021-06-22,9722.255333358902,10650.73005332119
2021-06-23,9722.255333358902,10713.638233370573
2021-06-24,9722.255333358902,10997.422838545765
2021-06-25,9722.255333358902,10933.024461446279
2021-06-28,9722.255333358902,10933.02446144628
2021-06-29,9722.255333358902,10933.02446144628
2021-06-30,9722.255333358902,10933.02446144628
2021-07-01,9722.255333358902,10933.02446144628
2021-07-02,9722.255333358902,10933.02446144628
2021-07-06,9722.255333358902,10933.02446144628
2021-07-07,9722.255333358902,10933.02446144628
2021-07-08,9722.255333358902,10933.02446144628
2021-07-09,9722.255333358902,11143.667744333805
2021-07-12,9722.255333358902,11355.696658045621
2021-07-13,9722.255333358902,11259.19424660147
2021-07-14,9722.255333358902,11196.673770362693
2021-07-15,9722.255333358902,10818.911112580441
2021-07-16,9722.255333358902,10818.911112580441
2021-07-19,9942.21382388338,10818.911112580441
2021-07-20,10149.099354419468,10818.911112580441
2021-07-21,10633.208426476347,10818.911112580441
2021-07-22,10480.113817173093,10818.911112580441
2021-07-23,10586.10050836462,10818.911112580441
2021-07-26,10586.10050836462,10818.911112580441
2021-07-27,10586.10050836462,10818.911112580441
2021-07-28,10586.10050836462,11037.650737460765
2021-07-29,10586.10050836462,11347.8981496448
2021-07-30,10586.10050836462,11476.370968275434
2021-08-02,10586.10050836462,11588.44183531724
2021-08-03,10586.10050836462,11686.032628301688
2021-08-04,10586.10050836462,11686.032628301688
2021-08-05,10586.10050836462,11686.032628301688
2021-08-06,10586.10050836462,11686.032628301688
2021-08-09,10586.10050836462,11686.032628301688
2021-08-10,10586.10050836462,11686.032628301688
2021-08-11,10586.10050836462,11564.902329411392
2021-08-12,10586.10050836462,11364.11157684117
2021-08-13,10586.10050836462,11475.519491649318
2021-08-16,10586.10050836462,11414.634990823672
2021-08-17,10586.10050836462,11079.060334768845
2021-08-18,10586.10050836462,11079.060334768845
2021-08-19,10781.631488301136,11079.060334768845
2021-08-20,10892.42730888684,11079.060334768845
2021-08-23,11343.923109420775,11079.060334768845
2021-08-24,11349.46333608809,11079.060334768845
2021-08-25,11488.681290011897,11079.060334768845
2021-08-26,11488.681290011897,11079.060334768845
2021-08-27,11488.681290011897,11079.060334768845
2021-08-30,11488.681290011897,11079.060334768845
2021-08-31,11488.681290011897,11079.060334768845
2021-09-01,11488.681290011897,11079.060334768845
2021-09-02,11488.681290011897,11079.060334768845
2021-09-03,11488.681290011897,11079.060334768845
2021-09-07,11488.681290011897,11079.060334768845
2021-09-08,11488.681290011897,11079.060334768845
2021-09-09,11488.681290011897,11079.060334768845
2021-09-10,11488.681290011897,11079.060334768845
2021-09-13,11488.681290011897,11079.060334768845
2021-09-14,11488.681290011897,11079.060334768845
2021-09-15,11488.681290011897,11079.060334768845
2021-09-16,11488.681290011897,11079.060334768845
2021-09-17,11488.681290011897,11079.060334768845
2021-09-20,11488.681290011897,11079.060334768845
2021-09-21,11488.681290011897,11079.060334768845
2021-09-22,11488.681290011897,11079.060334768845
2021-09-23,11488.681290011897,11079.060334768845
2021-09-24,11488.681290011897,11079.060334768845
2021-09-27,11488.681290011897,11079.060334768845
2021-09-28,11488.681290011897,11079.060334768845
2021-09-29,11488.681290011897,11079.060334768845
2021-09-30,11488.681290011897,11079.060334768845
2021-10-01,11488.681290011897,11079.060334768845
2021-10-04,11488.681290011897,11079.060334768845
2021-10-05,11488.681290011897,11079.060334768845
