strategy,position_fraction,trades,starting_capital,final_capital,total_return,max_drawdown,annualized_volatility,win_rate,avg_account_return_per_trade,best_account_trade,worst_account_trade,return_to_drawdown
25% Allocation,0.25,12,10000,12069.51713597527,0.20695171359752695,-0.08019131793918,0.04761296503538254,0.75,0.016239289766277486,0.04970000000000008,-0.030220000000000025,2.5807246833689232
50% Allocation,0.5,12,10000,14377.81701412477,0.43778170141247696,-0.15490088669355895,0.09407942326153941,0.75,0.03247857953255493,0.09939999999999993,-0.06044000000000005,2.826205264263866
75% Allocation,0.75,12,10000,16914.72972329499,0.691472972329499,-0.22455487740123214,0.13951539541458075,0.75,0.048717869298832296,0.1490999999999998,-0.09066000000000007,3.079305069352748
100% Allocation,1.0,12,10000,19661.418526590878,0.9661418526590879,-0.2895311800038183,0.18402416252427106,0.75,0.0649571590651098,0.1988000000000001,-0.1208800000000001,3.3369181607533482
1% Account Risk,0.08333333333333334,12,10000,10663.008419537688,0.06630084195376873,-0.027368050560493407,0.016006132762325775,0.75,0.005413096588759159,0.01656666666666662,-0.010073333333333379,2.422563558453665
2% Account Risk,0.16666666666666669,12,10000,11352.876390372454,0.1352876390372455,-0.05409254566953192,0.031875506000634116,0.75,0.01082619317751829,0.03313333333333324,-0.020146666666666757,2.5010403441494415
