strategy,position_fraction,historical_final_capital,historical_total_return,historical_max_drawdown
25% Allocation,0.25,12069.51713597527,0.20695171359752695,-0.047419914972458344
50% Allocation,0.5,14377.817014124761,0.4377817014124761,-0.09449889918184495
75% Allocation,0.75,16914.72972329498,0.6914729723294979,-0.14116641442285893
100% Allocation,1.0,19661.418526590878,0.9661418526590879,-0.18735192249020016
