strategy,starting_capital,final_capital,total_return,max_drawdown,trades,win_rate
Buy and Hold,10000,42775.11705895422,3.2775117058954226,-0.9046051426914523,1,
Fixed 5-Day Hold,10000,5883.416302275013,-0.4116583697724987,-0.7522615933598726,33,0.48484848484848486
Stop Target 5-Day,10000,9705.294958716044,-0.02947050412839558,-0.6156795539819002,37,0.4864864864864865
