test_year,selected_window,selected_threshold,selected_hold,test_trades,test_avg_return,test_median_return,test_win_rate,test_compounded_return,test_best_trade,test_worst_trade
2023,6,-1.7,5,3,0.056620089667459496,0.055863027543202826,1.0,0.1796268223577855,0.06250471193475371,0.05149252952442196
2024,6,-1.7,5,4,0.03283689135646348,0.08166349121987238,0.75,0.08886526194765665,0.1775057469075101,-0.20948516392140093
2025,6,-1.7,4,5,0.015103619823355974,0.03818064898568618,0.8,0.06532392963529321,0.09622729166986299,-0.10686804998402133
2026,6,-1.1,4,2,0.04537390666991259,0.04537390666991259,1.0,0.09255122638359992,0.06135446869742256,0.02939334464240262
