window,start_date,end_date,qqq_ma_window,signals,trades,final_capital,total_return,max_drawdown,win_rate,avg_trade,median_trade
Full available,2010-04-08,2026-07-02,50,14,12,19661.418526590878,0.9661418526590879,-0.2895311800038183,0.75,0.06495715906510978,0.06722131255121844
Full available,2010-04-08,2026-07-02,100,22,18,14737.443653089942,0.4737443653089941,-0.40329009838375485,0.6111111111111112,0.028891054981498306,0.05479737213581459
Full available,2010-04-08,2026-07-02,200,26,19,11519.319494059497,0.15193194940594967,-0.3709122012327283,0.5263157894736842,0.015237813792713687,0.004671043191625257
Recent 5y,2021-07-06,2026-07-02,50,10,8,15168.975127417069,0.5168975127417068,-0.2895311800038183,0.75,0.06032568989964947,0.06150570967023028
Recent 5y,2021-07-06,2026-07-02,100,18,14,11252.43482542334,0.12524348254233386,-0.40329009838375496,0.5714285714285714,0.015141176090993715,0.028081786358023608
Recent 5y,2021-07-06,2026-07-02,200,23,17,11165.415351484902,0.1165415351484902,-0.3345118801920016,0.5294117647058824,0.013931915594267952,0.004671043191625257
Older only,2010-04-08,2026-07-02,50,14,12,19661.418526590878,0.9661418526590879,-0.2895311800038183,0.75,0.06495715906510978,0.06722131255121844
Older only,2010-04-08,2026-07-02,100,22,18,14737.443653089942,0.4737443653089941,-0.40329009838375485,0.6111111111111112,0.028891054981498306,0.05479737213581459
Older only,2010-04-08,2026-07-02,200,26,19,11519.319494059497,0.15193194940594967,-0.3709122012327283,0.5263157894736842,0.015237813792713687,0.004671043191625257
