threshold,hold_days,trades,avg_return,median_return,win_rate
-1.0,1,68,-0.0036840440300029502,0.008001242276539977,0.5294117647058824
-1.0,2,68,-0.0017886022238039053,0.0028988048438727265,0.5147058823529411
-1.0,3,68,0.003959624911379287,-0.018315924695409158,0.4411764705882353
-1.0,5,68,-0.007031927842287446,-0.0008824057208678959,0.5
-1.0,10,68,0.011311553042941444,-0.01983410152798537,0.45588235294117646
-1.25,1,58,0.003168734743009465,-0.0020388999781835726,0.4827586206896552
-1.25,2,58,-0.0047823327948043545,-0.004471726656902819,0.5
-1.25,3,58,0.011921424098323759,-0.00024502900095008107,0.5
-1.25,5,58,-0.00891474145586852,-0.006088460913202531,0.4827586206896552
-1.25,10,58,0.02772434158846359,-0.004193691682047307,0.5
-1.5,1,54,-0.01170422994916889,-0.018548487885861387,0.3888888888888889
-1.5,2,54,-0.008253455583698974,-0.003928304129853788,0.48148148148148145
-1.5,3,54,0.0031360156458695126,0.005193268066294943,0.5370370370370371
-1.5,5,54,-0.0072406373615807205,0.0007871102474954483,0.5
-1.5,10,54,0.0331984301273258,0.0020013598696624335,0.5
-1.75,1,49,0.0052541882578377285,0.0036630177386223206,0.5306122448979592
-1.75,2,49,0.02299850869099575,0.009026678679798783,0.5714285714285714
-1.75,3,49,0.022669295782130346,0.02432792307537457,0.6326530612244898
-1.75,5,49,0.029785829474204852,0.025320830858061916,0.5714285714285714
-1.75,10,49,0.06905602003684408,0.049549594549623155,0.5918367346938775
-2.0,1,30,0.007110590807001675,0.006879833044227013,0.5666666666666667
-2.0,2,30,0.006463674909833198,0.0039471844934275135,0.5
-2.0,3,30,-0.010087688886753533,-0.03826389916368511,0.4
-2.0,5,30,0.008380918399144021,0.014543423096191277,0.5333333333333333
-2.0,10,30,0.07299012052462496,0.02432133481455978,0.5666666666666667
