,losers_median,winners_median,difference
z_score,-1.9478156540877032,-1.8671957014157359,0.08061995267196731
soxl_return_1d,-0.09740985274995428,-0.09853432470812629,-0.001124471958172002
soxl_return_5d,-0.14639199603439812,-0.14412152293579822,0.002270473098599901
soxl_return_10d,-0.18789025366027357,-0.18679161878999423,0.0010986348702793358
volatility_20d,0.06662514928619623,0.06347063649520367,-0.0031545127909925613
volume_ratio,1.247167799776177,1.4026210414051405,0.15545324162896357
qqq_trend,-0.03095820323634868,-0.007223417422981826,0.023734785813366854
soxx_trend,-0.05319778244131235,-0.04651726244455351,0.006680519996758838
vix_level,22.790000915527344,22.769999504089355,-0.02000141143798828
vix_change_5d,0.159447290550085,0.16588885971373524,0.00644156916365024
