method,strategy,position_fraction,median_final_capital,p05_final_capital,p95_final_capital,median_total_return,p05_total_return,p95_total_return,median_max_drawdown,p05_max_drawdown,worst_max_drawdown,probability_of_loss,probability_dd_over_10pct,probability_dd_over_20pct,probability_dd_over_30pct,probability_dd_over_40pct
Shuffle,100% Allocation,1.0,19661.41852659088,19661.418526590878,19661.418526590885,0.9661418526590881,0.9661418526590879,0.9661418526590886,-0.18224361421560809,-0.2855848220995847,-0.320570372265472,0.0,1.0,0.45605,0.0469,0.0
Shuffle,25% Allocation,0.25,12069.517135975266,12069.517135975264,12069.51713597527,0.2069517135975265,0.2069517135975263,0.20695171359752695,-0.04586585693936496,-0.07620688514199081,-0.08794785316664822,0.0,0.0,0.0,0.0,0.0
Shuffle,50% Allocation,0.5,14377.817014124761,14377.817014124756,14377.817014124765,0.4377817014124761,0.43778170141247563,0.4377817014124765,-0.0915814733764092,-0.14922738571529426,-0.17058180613318408,0.0,0.46545,0.0,0.0,0.0
Shuffle,75% Allocation,0.75,16914.729723294986,16914.729723294982,16914.72972329499,0.6914729723294986,0.6914729723294981,0.691472972329499,-0.13706725667915065,-0.21902826729128244,-0.24806744909949618,0.0,0.5982,0.08075,0.0,0.0
Bootstrap,100% Allocation,1.0,19923.35824995129,9899.19331686033,37123.10113847268,0.9923358249951288,-0.010080668313967003,2.7123101138472685,-0.1769828186733705,-0.3639295464465915,-0.651046741302751,0.0542,0.96925,0.4495,0.13495,0.03525
Bootstrap,25% Allocation,0.25,12110.183418274832,10142.858895213254,14194.211519157065,0.21101834182748302,0.014285889521325437,0.41942115191570645,-0.04426540897628073,-0.1011571845716771,-0.2281309308778624,0.03895,0.0543,0.00025,0.0,0.0
Bootstrap,50% Allocation,0.5,14450.120151729672,10185.42956889891,19822.105151408177,0.4450120151729673,0.018542956889890872,0.9822105151408178,-0.08857695997450954,-0.19542035452068518,-0.4108964530615804,0.04115,0.4541,0.0445,0.0024,0.0001
Bootstrap,75% Allocation,0.75,17025.701029489166,10112.532114740256,27350.741538684637,0.7025701029489166,0.011253211474025561,1.7350741538684635,-0.13284573565382618,-0.2829508016648684,-0.5324690544170356,0.04575,0.5327,0.18045,0.0354,0.00425
