asset,signal_date,entry_date,exit_date,z_score,entry_price,exit_price,return,winner,year
SOXL,2021-04-30,2021-05-03,2021-05-07,-1.937872156500738,36.63245801109698,35.79357733154297,-0.022899928781734746,False,2021
SOXL,2021-05-10,2021-05-11,2021-05-17,-2.0759206343230305,28.18329867265348,30.1429797706604,0.06953341838258331,True,2021
SOXL,2021-07-16,2021-07-19,2021-07-23,-1.8581910634774763,34.19482547851832,40.271410079956055,0.1777047993783485,True,2021
SOXL,2021-08-18,2021-08-19,2021-08-25,-1.7912254801823975,37.07918750639517,43.402015811920165,0.1705222991856139,True,2021
SOXL,2021-12-16,2021-12-17,2021-12-23,-1.8239824036376142,55.686777231531465,65.35153708648681,0.17355574043676003,True,2021
SOXL,2022-08-22,2022-08-23,2022-08-29,-1.8369103066409058,16.61589007035135,14.611801222801208,-0.12061278926767516,False,2022
SOXL,2022-08-26,2022-08-29,2022-09-02,-2.0813667269168534,15.059369272726329,12.485565977096558,-0.17091043117530336,False,2022
SOXL,2023-04-25,2023-04-26,2023-05-02,-2.2701570445601202,13.360813499692426,14.048799533843994,0.05149282520614529,True,2023
SOXL,2024-07-19,2024-07-22,2024-07-26,-1.9878642460309763,49.54495558347721,41.41408797454834,-0.16411090721898725,False,2024
SOXL,2024-10-31,2024-11-01,2024-11-07,-2.4674416588944816,30.434152483291562,35.836388786315915,0.17750572505642137,True,2024
SOXL,2024-11-15,2024-11-18,2024-11-22,-2.237718150174405,26.477413909633217,28.196043691635133,0.06490927655803391,True,2024
SOXL,2024-12-19,2024-12-20,2024-12-27,-1.8050453605295935,25.604748383512515,29.466772956848146,0.15083235794742178,True,2024
SOXL,2025-07-31,2025-08-01,2025-08-07,-1.9535859398412296,23.596724056565943,24.96774598503113,0.058102214747207226,True,2025
SOXL,2025-08-06,2025-08-07,2025-08-13,-1.8684404200851403,25.49807144846988,29.23223790550232,0.14644897613448826,True,2025
SOXX,2021-04-30,2021-05-03,2021-05-07,-1.9564276333419837,136.12724204402477,134.97629301452636,-0.008454950032163122,False,2021
SOXX,2021-05-10,2021-05-11,2021-05-17,-2.1250626660018055,125.28911584871888,128.219140914917,0.02338611016886727,True,2021
SOXX,2021-07-16,2021-07-19,2021-07-23,-1.7563854333675455,134.97203423075376,142.41801681518555,0.055166854577458846,True,2021
SOXX,2022-08-26,2022-08-29,2022-09-02,-2.017927190322109,123.34380530835735,115.73132842254638,-0.06171754525312323,False,2022
SOXX,2023-04-25,2023-04-26,2023-05-02,-2.4201741573861426,132.3426664229763,134.59805529785157,0.017042038942051363,True,2023
SOXX,2024-07-19,2024-07-22,2024-07-26,-1.860556566752362,238.84703797312324,226.37825354003905,-0.05220405720286658,False,2024
SOXX,2024-10-31,2024-11-01,2024-11-07,-2.6050753402528932,218.11478016852044,230.61979632568358,0.05733227316141298,True,2024
SOXX,2024-11-15,2024-11-18,2024-11-22,-2.292802312124653,209.32156085708303,213.86994612121583,0.02172917708767841,True,2024
SOXX,2025-08-01,2025-08-04,2025-08-08,-2.271780282885771,237.88868563879473,241.5002014160156,0.015181536555733954,True,2025
SOXX,2025-08-06,2025-08-07,2025-08-13,-1.9018890102214445,241.15671367039758,252.4481201019287,0.046821862264069924,True,2025
