signal_date,entry_date,entry_price,z_score,soxl_return_1d,soxl_return_5d,volume_ratio,volatility_20d,qqq_trend,soxx_trend,vix_level,vix_change_5d,return_3d,return_5d,return_10d,mae_10d,mfe_10d,return_day_1,return_day_2,return_day_3,return_day_4,return_day_5,return_day_6,return_day_7,return_day_8,return_day_9,return_day_10
2021-07-16,2021-07-19,34.16066481370462,-1.8581934293991849,-0.06747844973976513,-0.11994254585243103,,,0.0480244542400019,-0.006619244501902322,18.450000762939453,0.14029668819212127,0.18858259874216876,0.18006256674447108,0.26072151994054793,-0.014200511587644238,0.263845650118147,0.04629369811128603,0.08889553313915988,0.18858259874216876,0.1570580225065885,0.18006256674447108,0.17722248163237686,0.11189996570774996,0.16955415132735951,0.23402440721284412,0.26072151994054793
2021-08-18,2021-08-19,37.04215271128087,-1.7912264386155408,-0.04448849474687511,-0.12474507785507016,0.9984248972935607,0.03325260850219503,0.011657272815078334,-0.014801970315851287,21.56999969482422,0.3339517373563252,0.14431651456397798,0.1728655574237099,0.20377166607538322,-0.02723941611352887,0.2833944473151413,0.03797801863146888,0.058931373723977165,0.14431651456397798,0.14536415657295287,0.1728655574237099,0.17024650389257356,0.2388684457455581,0.2503929197746899,0.21922472040121965,0.20377166607538322
2021-09-20,2021-09-21,42.72751041754917,-1.7882108446312353,-0.07379704393657793,-0.09546688460227437,1.863225606255127,0.0344969203927294,-0.009812115267917587,0.002217376768827606,25.709999084472656,0.32731016884613484,0.09218905358623597,0.08287915002346091,-0.15940055966279,-0.1696185603327196,0.10240705614297951,-0.009990972576276902,0.05040876550845019,0.09218905358623597,0.08878294557856958,0.08287915002346091,-0.0410989496000822,-0.08900998210864142,-0.09082655519013305,-0.09014526216487806,-0.15940055966279
2021-09-28,2021-09-29,41.29162052782222,-2.340551985637079,-0.11448932193482275,-0.03142191248978499,2.177600436464186,0.039902979103609154,-0.02843554426946826,-0.011851750002506267,23.25,-0.04556652637684555,-0.05850564128108804,-0.09187032192493572,-0.12946426322483784,-0.14309203679825233,0.0028195236845098837,-0.057330882581632214,-0.05921062583877501,-0.05850564128108804,-0.1301692477825248,-0.09187032192493572,-0.08223676476048525,-0.050986668252516965,-0.07589273519996054,-0.09821425910116499,-0.12946426322483784
2021-12-16,2021-12-17,55.63113866567855,-1.823981078872049,-0.13050523091741972,-0.10121394733684608,1.6052725930490417,0.06982032869519253,0.0007616622749619939,0.033039277342083784,20.56999969482422,-0.04680260576703388,0.10769896603016282,0.17590535821417808,0.18637193817634046,-0.03261230958682493,0.2920831521025473,0.02825251007278995,0.003662513431512915,0.10769896603016282,0.14049365105593536,0.17590535821417808,0.27324322157984704,0.2301566075907695,0.23852943270443627,0.19247724886903228,0.18637193817634046
2021-12-20,2021-12-21,59.36144193701398,-1.7752041403001004,-0.023914356055922847,-0.07683663504094729,0.8966061797409108,0.06862302380904707,-0.016026550196459155,0.016954778944162863,22.8700008392334,0.12604635355032157,0.10201086607597265,0.15285293928669108,0.16184412170757922,-0.039234882835096574,0.21317646796751744,0.03809059834560502,0.06882444864698112,0.10201086607597265,0.19323196848891722,0.15285293928669108,0.16069961180209424,0.11754137067440995,0.11181972081788238,0.1786824907415263,0.16184412170757922
2022-01-18,2022-01-19,55.78053691615925,-1.8871289352931488,-0.13182385972570132,-0.06699996055977864,1.5510471431274884,0.06289744798490213,-0.05498818614125922,-0.03608707519967236,22.790000915527344,0.17474233833278263,-0.23956164453423578,-0.3008002818998088,-0.20128729101794107,-0.42414742337051614,0.011830207212790933,-0.1158663865770968,-0.19989553489036171,-0.23956164453423578,-0.20929014520503741,-0.3008002818998088,-0.26722326773465377,-0.36743210248650915,-0.3317674199361831,-0.2244258264820328,-0.20128729101794107
2022-01-27,2022-01-28,35.29468572974243,-1.8537486774170355,-0.13675220614888295,-0.2093933666189327,1.7631897313334375,0.0693169544441649,-0.11685526595781015,-0.14767179671594033,30.489999771118164,0.1914810312353492,0.2623040219121515,0.17211964687116965,0.27632649620281047,-0.08990928110522789,0.4355236498655586,0.05609021103761758,0.22573534577989807,0.2623040219121515,0.35661224084522614,0.17211964687116965,0.19494059150332155,0.1935662290624396,0.2812754331173699,0.40280458842278977,0.27632649620281047
2022-03-07,2022-03-08,28.79277366257269,-2.2764018420148497,-0.149266861739087,-0.2787124854088223,1.1335250887884136,0.08987540974619761,-0.10658243250680788,-0.13630905628543455,36.45000076293945,0.20895526448156843,0.1038085473624617,-0.059319235200444465,0.31445911643176183,-0.07987874232372771,0.3471521150856891,0.050219068664872024,0.17728354884432274,0.1038085473624617,0.03437820607341213,-0.059319235200444465,0.062015536039539354,0.22345800487977163,0.24536582463844603,0.32018869288321916,0.31445911643176183
2022-03-14,2022-03-15,27.608845686740793,-1.841050675256249,-0.09058334826053627,-0.05645712949209347,1.0542535273428417,0.08687178299309944,-0.10671675238857259,-0.12995958886620262,31.770000457763672,-0.12839506741339146,0.2987698479961669,0.37082601197996,0.5014995709256063,-0.015465747706790434,0.505015220585429,0.10755709609429975,0.275922572781945,0.2987698479961669,0.37680128526088685,0.37082601197996,0.39181394176243267,0.28986220582930566,0.4797030738943713,0.4768906360357654,0.5014995709256063
