stop_loss,profit_target,max_hold,trades,avg_return,median_return,win_rate,worst_trade,best_trade,total_return_simple
-0.12,0.12,10,49,0.013735598553934674,0.1200000000000001,0.5714285714285714,-0.1200000000000001,0.1200000000000001,0.673044329142799
-0.15,0.12,10,49,0.006807756447305328,0.1200000000000001,0.5918367346938775,-0.15000000000000013,0.1200000000000001,0.3335800659179611
-0.1,0.12,10,49,0.01781723120699591,0.11999999999999988,0.5510204081632653,-0.10000000000000009,0.1200000000000001,0.8730443291427995
-0.15,0.08,10,49,0.019398688505615602,0.08000000000000007,0.7346938775510204,-0.15000000000000013,0.08000000000000007,0.9505357367751645
-0.12,0.08,10,49,0.018775510204081677,0.08000000000000007,0.6938775510204082,-0.1200000000000001,0.08000000000000007,0.9200000000000023
-0.1,0.08,10,49,0.017551020408163316,0.08000000000000007,0.6530612244897959,-0.10000000000000009,0.08000000000000007,0.8600000000000025
-0.1,0.08,5,49,0.013837442319870082,0.08000000000000007,0.6326530612244898,-0.10000000000000009,0.08000000000000007,0.678034673673634
-0.12,0.08,5,49,0.01103977599882547,0.08000000000000007,0.6530612244897959,-0.1200000000000001,0.08000000000000007,0.540949023942448
-0.15,0.08,5,49,0.008709957350257867,0.08000000000000007,0.673469387755102,-0.15000000000000013,0.08000000000000007,0.4267879101626355
-0.15,0.08,3,49,0.008491943792654173,0.08000000000000007,0.673469387755102,-0.15000000000000002,0.08000000000000007,0.4161052458400545
-0.08,0.08,10,49,0.004897959183673517,0.08000000000000007,0.5306122448979592,-0.08000000000000007,0.08000000000000007,0.24000000000000232
-0.15,0.15,10,49,0.009037090510797083,0.0750785841914352,0.5510204081632653,-0.15000000000000013,0.1499999999999999,0.442817435029057
-0.1,0.08,3,49,0.010707192202750576,0.06110555815066454,0.6530612244897959,-0.09999999999999998,0.08000000000000007,0.5246524179347782
-0.12,0.08,3,49,0.007524897247596625,0.06110555815066454,0.6530612244897959,-0.1200000000000001,0.08000000000000007,0.3687199651322346
-0.12,0.12,5,49,0.014083500925165625,0.060220537499453775,0.5918367346938775,-0.1200000000000001,0.1200000000000001,0.6900915453331157
-0.15,0.12,5,49,0.005878377143442136,0.060220537499453775,0.5918367346938775,-0.15000000000000013,0.1200000000000001,0.28804048002866467
-0.1,0.12,5,49,0.014648902773285708,0.054196982495425816,0.5510204081632653,-0.10000000000000009,0.1200000000000001,0.7177962358909997
-0.08,0.08,5,49,0.002646788652590241,0.054196982495425816,0.5102040816326531,-0.08000000000000007,0.08000000000000007,0.12969264397692182
-0.12,0.15,10,49,0.017104549251718976,0.049549594549623155,0.5306122448979592,-0.1200000000000001,0.1499999999999999,0.8381229133342297
-0.12,0.2,5,49,0.02494979356231078,0.025320830858061916,0.5510204081632653,-0.1200000000000001,0.19999999999999996,1.2225398845532283
-0.15,0.2,5,49,0.01615584332706397,0.025320830858061916,0.5510204081632653,-0.15000000000000013,0.19999999999999996,0.7916363230261345
-0.12,0.15,5,49,0.012383141672746132,0.025320830858061916,0.5510204081632653,-0.1200000000000001,0.1499999999999999,0.6067739419645605
-0.15,0.15,5,49,0.0035891914374993187,0.025320830858061916,0.5510204081632653,-0.15000000000000013,0.1499999999999999,0.1758703804374666
-0.1,0.15,10,49,0.02139026353743327,0.023494734593173305,0.5102040816326531,-0.10000000000000009,0.1499999999999999,1.0481229133342302
-0.15,0.2,10,49,0.021138092057991362,0.023494734593173305,0.5306122448979592,-0.15000000000000013,0.19999999999999996,1.0357665108415768
-0.1,0.2,3,49,0.021779330844409184,0.01610483035432142,0.5918367346938775,-0.09999999999999998,0.19999999999999996,1.06718721137605
-0.12,0.2,3,49,0.017372546093336872,0.01610483035432142,0.5918367346938775,-0.1200000000000001,0.19999999999999996,0.8512547585735067
-0.15,0.2,3,49,0.014253979514545967,0.01610483035432142,0.5918367346938775,-0.15000000000000002,0.19999999999999996,0.6984449962127524
-0.1,0.15,3,49,0.012998119956907353,0.01610483035432142,0.5918367346938775,-0.09999999999999998,0.1499999999999999,0.6369078778884603
-0.1,0.12,3,49,0.008821140835371428,0.01610483035432142,0.5918367346938775,-0.09999999999999998,0.1200000000000001,0.43223590093319997
-0.12,0.15,3,49,0.008591335205835032,0.01610483035432142,0.5918367346938775,-0.1200000000000001,0.1499999999999999,0.42097542508591657
-0.15,0.15,3,49,0.005472768627044126,0.01610483035432142,0.5918367346938775,-0.15000000000000002,0.1499999999999999,0.2681656627251622
-0.12,0.12,3,49,0.004414356084299108,0.01610483035432142,0.5918367346938775,-0.1200000000000001,0.1200000000000001,0.21630344813065627
-0.15,0.12,3,49,0.0012957895055082018,0.01610483035432142,0.5918367346938775,-0.15000000000000002,0.1200000000000001,0.06349368576990189
-0.08,0.08,3,49,-0.0008719213743490959,0.01610483035432142,0.5306122448979592,-0.08000000000000007,0.08000000000000007,-0.0427241473431057
-0.12,0.2,10,49,0.02920555079891325,0.012558844762976973,0.5102040816326531,-0.1200000000000001,0.19999999999999996,1.4310719891467492
-0.1,0.2,5,49,0.02633152194104311,0.006682396631448206,0.5102040816326531,-0.10000000000000009,0.19999999999999996,1.2902445751111125
-0.1,0.15,5,49,0.01376487005147846,0.006682396631448206,0.5102040816326531,-0.10000000000000009,0.1499999999999999,0.6744786325224446
-0.1,0.2,10,49,0.03247085692136224,-0.03551645353055488,0.4897959183673469,-0.10000000000000009,0.19999999999999996,1.5910719891467497
-0.08,0.2,3,49,0.01183951111822854,-0.03965625018078078,0.4897959183673469,-0.08000000000000007,0.19999999999999996,0.5801360447931985
-0.08,0.15,3,49,0.004536815576006483,-0.03965625018078078,0.4897959183673469,-0.08000000000000007,0.1499999999999999,0.22230396322431767
-0.08,0.12,3,49,0.001584326250388918,-0.03965625018078078,0.4897959183673469,-0.08000000000000007,0.1200000000000001,0.07763198626905699
-0.08,0.12,5,49,0.0105276854391973,-0.07999999999999985,0.46938775510204084,-0.08000000000000007,0.1200000000000001,0.5158565865206677
-0.08,0.2,10,49,0.02301178070517504,-0.07999999999999996,0.40816326530612246,-0.08000000000000007,0.19999999999999996,1.127577254553577
-0.08,0.2,5,49,0.019761325015117973,-0.07999999999999996,0.42857142857142855,-0.08000000000000007,0.19999999999999996,0.9683049257407806
-0.08,0.15,10,49,0.01499241181104199,-0.07999999999999996,0.42857142857142855,-0.08000000000000007,0.1499999999999999,0.7346281787410575
-0.08,0.12,10,49,0.01243978764386992,-0.07999999999999996,0.46938775510204084,-0.08000000000000007,0.1200000000000001,0.6095495945496261
-0.08,0.15,5,49,0.009235489452083937,-0.07999999999999996,0.42857142857142855,-0.08000000000000007,0.1499999999999999,0.45253898315211294
