event_id,event_start,event_end,trade_observations,unique_assets,assets,avg_return,median_return,win_rate,event_winner,qqq_trend_20,qqq_trend_50,qqq_trend_200,qqq_ma50_slope_10d,soxx_trend_20,soxx_trend_50,soxx_trend_200,vix_level,vix_change_5d
9,2022-08-22,2022-08-29,8,7,"AMD,AVGO,NVDA,SMH,SOXL,SOXX,TSM",-0.09518892139954735,-0.0862187089183413,0.0,False,-0.018178774094891548,0.04516405800493106,-0.07512237924880238,0.013223853922985862,-0.04342220116349915,0.02344136702004107,-0.1286640822247045,23.799999237060547,0.192982372275049
20,2024-07-17,2024-07-19,4,4,"NVDA,SMH,SOXL,SOXX",-0.08315399632945403,-0.058224577422556247,0.0,False,-0.01217670609841659,0.028388225217408136,0.1410683074232053,0.03016860927651721,-0.03858965688728422,0.005373034722998771,0.19152119733454565,14.479999542236328,0.12684817995158437
10,2022-12-09,2022-12-09,1,1,AMD,-0.04757348304449,-0.04757348304449,0.0,False,-0.013861729197096162,0.016516318083005688,-0.06996866317846917,0.0036367014385085827,-0.0020638639192431807,0.08637505566911097,-0.03069078912187362,22.829999923706055,0.197796461878194
18,2024-04-09,2024-04-12,2,2,"AMD,NVDA",-0.03524127939553265,-0.03524127939553265,0.5,False,0.0016035174346944459,0.01349080629904642,0.12730166375735785,0.011255125340686067,0.006480205496987468,0.03967146856457693,0.2411797761836041,14.979999542236328,0.02532511254303693
30,2025-11-07,2025-11-07,1,1,TSM,-0.0343423800923509,-0.0343423800923509,0.0,False,-0.009371197777061635,0.01430964205978813,0.13245758036104816,0.018162205965573275,-0.004820758857410401,0.0627829446402659,0.2772079466188506,19.079999923706055,0.09403665937083971
4,2021-04-30,2021-05-04,4,4,"AVGO,SMH,SOXL,SOXX",-0.015565178769096525,-0.0156774394069489,0.0,False,0.0012634511711178131,0.04160929113014822,,0.003586814313052855,-0.03536003307591551,0.0008421967102469896,,18.61000061035156,0.07386039770805564
28,2025-08-29,2025-08-29,1,1,NVDA,-0.0119193582569439,-0.0119193582569439,0.0,False,-0.0025695202017094187,0.015573823520686592,0.10199602038604261,0.014903413310267233,-0.0041082121092900215,0.00780468753482455,0.1328757477445106,15.359999656677246,0.0801687319438169
16,2023-08-02,2023-08-02,1,1,TSM,-0.011047749013932,-0.011047749013932,0.0,False,-0.0068111667692339894,0.026468605642825382,0.20242420450722975,0.028759777901459227,-0.0037480652772607925,0.0314117668172218,0.23567630855020383,16.09000015258789,0.21986358335580136
33,2026-06-05,2026-06-10,4,2,"AVGO,NVDA",-0.00330519321739255,-0.006019155016352249,0.5,False,-0.02347750582734598,0.055780579704359345,0.13563339335977798,0.04411405988560979,-0.011282508493373644,0.16726975858395776,0.5674894225026796,21.510000228881836,0.4040470402978451
11,2023-02-17,2023-02-22,2,2,"AVGO,TSM",-0.0014337294813734506,-0.0014337294813734506,0.5,False,0.0034652329071411803,0.05912796405352028,0.039975717339120864,0.012604658503450938,-0.004387557678552589,0.07573806322244958,0.11576653436190187,20.020000457763672,-0.0248417053981681
31,2025-11-13,2025-11-13,1,1,TSM,0.0037530792017899,0.0037530792017899,1.0,True,-0.017300528956404104,0.005536959311330136,0.12583248281021797,0.016665620362816602,-0.02921929615466068,0.02881661471354202,0.24686034603326568,20.0,0.02564102564102555
25,2025-02-05,2025-02-05,1,1,AMD,0.0051093854530996,0.0051093854530996,1.0,True,0.014148198645947296,0.014880634135391757,0.09097892330801138,0.006338060515638899,-0.007082648482002574,0.0017836215450088844,-0.026063947406627874,15.770000457763672,-0.0477052556555595
19,2024-06-18,2024-06-18,1,1,AMD,0.0090182304871755,0.0090182304871755,1.0,True,0.04660887838507799,0.0862731464970461,0.17978096551513167,0.013686814282297455,0.07275315941705363,0.14345733109063818,0.3275480028297466,12.300000190734863,-0.04280156999279083
3,2021-01-29,2021-01-29,1,1,AMD,0.0103003028595038,0.0103003028595038,1.0,True,,,,,,,,33.09000015258789,0.5102693009145001
15,2023-07-20,2023-07-20,1,1,TSM,0.0129905436829571,0.0129905436829571,1.0,True,0.01571853884840757,0.0594760079950285,0.2292814628559685,0.033753326677428364,-0.0012028810161561765,0.05083565458124539,0.24050671322627437,13.989999771118164,0.027920655696305197
8,2021-12-06,2021-12-16,6,3,"AMD,NVDA,SOXL",0.02764082091469232,0.0140141283946394,0.5,True,-0.02106288169516557,0.01359186664437928,0.09147457947949222,0.010565720527980327,-0.005114279541590716,0.07480796331895578,0.16893895223868283,27.18000030517578,0.1837979699031007
32,2025-12-12,2025-12-12,1,1,NVDA,0.0151083104856433,0.0151083104856433,1.0,True,0.0010718115968519903,0.00033448870868713065,0.11707634905214603,0.007705100985538227,0.014484923366777203,0.01792278216507448,0.24922438335011554,15.739999771118164,0.021414661062535645
17,2024-02-21,2024-02-21,1,1,AMD,0.0172475123049244,0.0172475123049244,1.0,True,-0.006778049463673552,0.02464617679587544,0.12985473029375028,0.021654236638672275,0.004548407577651625,0.05252282958763366,0.20457043949346865,15.34000015258789,-0.032176669817502335
12,2023-04-12,2023-04-25,8,6,"AMD,AVGO,SMH,SOXL,SOXX,TSM",0.011710553088030663,0.0186127331204076,0.75,True,0.003670934548961391,0.030150574681752307,0.07590605044276932,0.020931060066122553,-0.020295019220233135,-0.001707306243741269,0.11515696155656907,19.09000015258789,0.00473685013620484
24,2024-12-09,2024-12-19,4,3,"AMD,NVDA,SOXL",0.03395838754018023,0.0204276842297866,0.5,True,0.02239910791903399,0.044907553736031725,0.11678404143090715,0.014034403829584097,0.005344438219230252,-0.024938837585764095,-0.035360612117750434,14.1899995803833,0.06371809730680655
5,2021-05-10,2021-05-10,6,6,"AMD,AVGO,SMH,SOXL,SOXX,TSM",0.02606071213361443,0.0212275039007746,0.8333333333333334,True,-0.032743212432447266,2.255477283741314e-05,,0.005176454109826478,-0.05743122679288393,-0.04098956544571275,,19.65999984741211,0.07373022505985327
22,2024-11-13,2024-11-15,6,5,"AVGO,SMH,SOXL,SOXX,TSM",0.020696563420678517,0.0215353121194961,0.6666666666666666,True,0.027912713772543674,0.05127309989018447,0.11171081316638398,0.012393381039585982,-0.03599400570923117,-0.0320593785097667,-0.03255095544511244,14.020000457763672,-0.1382913298521975
14,2023-06-23,2023-06-23,1,1,AMD,0.0246274391538068,0.0246274391538068,1.0,True,0.01601344041421049,0.0782098003663847,0.21351565593364819,0.028882286187180917,-0.01186458682587943,0.0830774660967386,0.23285337628872016,13.4399995803833,-0.07310347721494481
1,2021-01-06,2021-01-06,1,1,NVDA,0.0414276316800827,0.0414276316800827,1.0,True,,,,,,,,25.06999969482422,
27,2025-08-19,2025-08-19,1,1,TSM,0.0442843583252943,0.0442843583252943,1.0,True,-0.00037224979016836635,0.025244625643978003,0.1062726281014219,0.019515067637532635,0.003643625102083714,0.022429392274429416,0.13715602978741415,15.56999969482422,0.05702648870960947
2,2021-01-15,2021-01-15,1,1,AMD,0.0489272877589477,0.0489272877589477,1.0,True,,,,,,,,24.34000015258789,0.1289425211274695
29,2025-09-05,2025-09-05,2,2,"AMD,NVDA",0.0508727333977515,0.0508727333977515,1.0,True,0.005038648966182668,0.02026865631007846,0.11027189415226757,0.014452920633052146,-0.0009038317886949088,0.01061052348671021,0.1383705577112968,15.18000030517578,0.05197505087584697
26,2025-07-31,2025-08-06,4,2,"SOXL,SOXX",0.0666386474253748,0.05246203850563855,1.0,True,0.008153452209358703,0.04249138262473506,0.1090961948754754,0.023032292935077248,-0.017641391069388113,0.04059786215948402,0.11863838313799979,16.719999313354492,0.08641968423404123
21,2024-10-31,2024-10-31,5,5,"AMD,AVGO,SMH,SOXL,SOXX",0.08540657315345428,0.0667859771446619,1.0,True,-0.017161417487970065,0.0052104468618552335,0.058639376528578646,0.011581473567764622,-0.051402283754657496,-0.032694792144219775,-0.028206601965907963,23.15999984741211,0.21383647484384083
7,2021-08-17,2021-08-18,4,4,"AVGO,NVDA,SOXL,TSM",0.08588550407482987,0.08585660330952144,1.0,True,-0.0024846632027045734,0.02296539581022694,,0.019787303024657366,-0.020557222293784982,-0.0012321917065621912,,17.90999984741211,0.06670630558745194
6,2021-07-16,2021-07-16,3,3,"NVDA,SOXL,SOXX",0.10746185262692172,0.0895139039249579,1.0,True,0.006680019295934203,0.0480244542400019,,0.014299722336158283,-0.03473951214878801,-0.006619244501902322,,18.450000762939453,0.14029668819212127
13,2023-05-02,2023-05-03,2,2,"AMD,AVGO",0.093819030852599,0.093819030852599,1.0,True,0.0060622671999197575,0.03746424246025537,0.08937309509239588,0.008819452383846293,-0.014106670479447914,-0.014569274952440536,0.08242680984427952,17.780000686645508,-0.052238780931760154
23,2024-11-27,2024-11-27,1,1,TSM,0.1233090543547068,0.1233090543547068,1.0,True,0.004009692937995357,0.02057986987992,0.08750875996186891,0.01609865863633031,-0.03136575419270149,-0.05778617862509916,-0.06109879749268565,14.100000381469728,-0.17832164878508772
