z_window,z_threshold,hold_days,trades,avg_return,median_return,win_rate,compounded_trade_return,best_trade,worst_trade,return_std,avg_loss,quality_score
5,-1.25,1,73,0.005591509012936908,0.016159261595985797,0.6164383561643836,0.39268302079661965,0.1042675485693545,-0.1243318538934356,0.04578027996859645,-0.041352234421570176,1.0435470027986011
5,-1.25,2,73,0.008389865782843757,-0.0031651612656791173,0.4931506849315068,0.517761912191794,0.25739454258904493,-0.1339348012683539,0.07519812472986075,-0.04541900956341897,0.9532557484490504
5,-1.25,3,73,0.013823231323650731,0.00866309705452295,0.5342465753424658,0.9956904390611105,0.30828040123885847,-0.166363958150599,0.09534665891253735,-0.062151192200760264,1.2386982569573022
5,-1.25,5,73,0.028814665860803428,0.0516957418845545,0.6027397260273972,4.0271162630855475,0.30615797310446546,-0.2852178471674264,0.11390710230339857,-0.08284009126473887,2.1613455882586545
5,-1.5,1,35,0.002645283399446674,0.002554610193488571,0.5714285714285714,0.06925575634717873,0.08899392867341338,-0.08352353509403143,0.03882869622088843,-0.03328184499894378,0.40304489110341335
5,-1.5,2,35,-0.0003143068706365255,-0.007859840463327217,0.4,-0.09034602571924899,0.25739454258904493,-0.1339348012683539,0.07199807540310649,-0.041722231244557144,-0.0258265865115309
5,-1.5,3,35,0.025899205740987346,0.020224592620532222,0.5714285714285714,1.1736351159439802,0.25684519287304064,-0.166363958150599,0.08624801169481047,-0.0449084580999997,1.7765252145727095
5,-1.5,5,35,0.03865941009290865,0.05177875738071491,0.6571428571428571,2.20081598930677,0.30615797310446546,-0.20948516392140093,0.10142888101160313,-0.06992630483770756,2.2549016827963446
5,-1.75,1,2,0.00017569487182211851,0.00017569487182211851,0.5,0.0001283688818183304,0.01511061136016778,-0.014759221616523543,0.021121161450727993,-0.014759221616523543,0.01176403443294916
5,-1.75,2,2,-0.00820463873811983,-0.00820463873811983,0.5,-0.017346960576324455,0.023497083563796206,-0.039906361040035865,0.04483300562995527,-0.039906361040035865,-0.25880734995978266
5,-1.75,3,2,0.026039340896917396,0.026039340896917396,0.5,0.04996791614614504,0.07884855337007957,-0.026769871576244775,0.07468350449778836,-0.026769871576244775,0.4930833026557758
5,-1.75,5,2,0.07377431683702096,0.07377431683702096,1.0,0.15294105877301511,0.08086125734728,0.06668737632676192,0.010022447385339642,0.0,10.409896446883586
10,-1.25,1,46,0.007925719916683763,0.012880588488114242,0.6521739130434783,0.3740971497821295,0.16246733992245166,-0.08352353509403143,0.04561430116986008,-0.0379232496790146,1.178464789553681
10,-1.25,2,46,0.00786992646895358,0.007775939581467273,0.5869565217391305,0.28425504674567326,0.21794642675323161,-0.1339348012683539,0.07120331098348912,-0.053921919310479544,0.7496342166974813
10,-1.25,3,46,0.012417372029154989,0.009493091675010668,0.5434782608695652,0.4338257386223088,0.41422537774139956,-0.1676040779527671,0.09969205217268251,-0.06266454988369237,0.8447886545567214
10,-1.25,5,46,0.016424431538446697,0.04718289849008228,0.5869565217391305,0.5508678203465203,0.21369081725423245,-0.2852178471674264,0.11573107967897822,-0.09412647767301585,0.9625410459143037
10,-1.5,1,31,0.0021198375308719136,0.002554610193488571,0.5806451612903226,0.03653808144410853,0.1042675485693545,-0.08352353509403143,0.04466108330750686,-0.03850993644142564,0.2642738372043555
10,-1.5,2,31,-0.006477598813810449,0.009238404231216357,0.5161290322580645,-0.22703838573508084,0.14695609289692912,-0.1339348012683539,0.06058836189620875,-0.05582578189425825,-0.5952586058363233
10,-1.5,3,31,-0.007037942357249144,-0.010493275707971983,0.45161290322580644,-0.2599317344348975,0.18145388393254946,-0.14400788611058224,0.0739172116944533,-0.057398953862529745,-0.5301282846858814
10,-1.5,5,31,0.0006367446637609146,0.03619627744787479,0.5806451612903226,-0.17729980898723086,0.17750567337330847,-0.2852178471674264,0.11585841992709409,-0.11202480689561146,0.030599798006403944
10,-1.75,1,19,-0.008296655074237368,0.001803779849525844,0.5263157894736842,-0.1557227926344309,0.04141612722172461,-0.08352353509403143,0.03441826694380877,-0.0380645218932553,-1.0507292856161643
10,-1.75,2,19,-0.00199917039070276,0.0073930709528391425,0.5263157894736842,-0.05675136993755914,0.06661012708739555,-0.1339348012683539,0.0464918077236418,-0.03592733109732379,-0.18743477895699806
10,-1.75,3,19,0.021129106153780147,0.014074722837875031,0.631578947368421,0.44020111135219464,0.13674670382914034,-0.08481434075992345,0.06181429569831028,-0.0374503696896212,1.4899407564420184
10,-1.75,5,19,0.021913595537442782,0.04453630532500896,0.7368421052631579,0.3649390991043251,0.17750567337330847,-0.20948516392140093,0.10504085561115466,-0.12737097727611463,0.9093523456333448
10,-2.0,1,9,-0.01576471643828978,-0.02031668787148988,0.3333333333333333,-0.13678573167368813,0.04420320121196264,-0.06144974667389369,0.03153777818962624,-0.03174067319993085,-1.4996030801696065
10,-2.0,2,9,0.00026087403528633296,-0.004331582418497404,0.4444444444444444,-0.015338475498982707,0.08671981077988677,-0.1339348012683539,0.06557287237102888,-0.04136017497817701,0.011935150582251655
10,-2.0,3,9,0.039433594744722744,0.03603333211371029,0.7777777777777778,0.3964224870281712,0.18620826927577805,-0.028348565563244388,0.06330437414684344,-0.026505847757059386,1.8687616113185617
10,-2.0,5,9,0.06629489020433187,0.07384395742007932,0.8888888888888888,0.6854501208928414,0.17770481362676693,-0.20948516392140093,0.11854077027842141,-0.20948516392140093,1.6777744074538008
20,-1.25,1,22,0.010201928559874224,0.009594814807523333,0.5909090909090909,0.21857945512473287,0.1042675485693545,-0.07651740608931268,0.050056997760905934,-0.0370105572027866,0.9559360057186297
20,-1.25,2,22,-0.012008802051561013,-0.005698742940601631,0.5,-0.27675413761727974,0.14695609289692912,-0.1339348012683539,0.07355218274998399,-0.07043869764929606,-0.7658001746964331
20,-1.25,3,22,0.0027816104783438193,0.009493091675010668,0.5909090909090909,-0.02675736323345257,0.18620826927577805,-0.13966148514105015,0.09262029564254748,-0.0838707462888743,0.14086447829605514
20,-1.25,5,22,-0.0058010832028739445,0.00730645397587204,0.5,-0.27058886825035566,0.17770481362676693,-0.2852178471674264,0.1295506051406778,-0.10972027002711894,-0.21002983389587718
20,-1.5,1,17,0.004192701991588545,0.00428135697995935,0.5882352941176471,0.05498734788704285,0.1042675485693545,-0.07651740608931268,0.04718992517046305,-0.041220521053914716,0.36632720025750937
20,-1.5,2,17,-0.0033288946893918906,0.0016569933313175245,0.5294117647058824,-0.10057532121037172,0.14695609289692912,-0.1339348012683539,0.07782209005432604,-0.0681090259944199,-0.1763687458321801
20,-1.5,3,17,0.020895527952792873,0.020439837311904574,0.6470588235294118,0.2993799711210403,0.18620826927577805,-0.1445697277006487,0.1074245900133327,-0.09781057708965708,0.8019995127904939
20,-1.5,5,17,0.00879275691011385,0.05149253475111659,0.5882352941176471,-0.056367548939353807,0.17770481362676693,-0.2852178471674264,0.15715761241364548,-0.15544543965765062,0.23068221083276777
20,-1.75,1,14,0.01865263393604616,0.02268105081824512,0.7142857142857143,0.28111184591825866,0.1042675485693545,-0.057824745284545176,0.041905844840444066,-0.032165080468909674,1.665442274587915
20,-1.75,2,14,0.014375534153185725,0.007291950489493271,0.6428571428571429,0.19141467200552986,0.14695609289692912,-0.10121606102505287,0.06260942080516037,-0.04436973271320532,0.8591091062873262
20,-1.75,3,14,0.03896768838841434,0.02911325064660064,0.7857142857142857,0.6017375227841353,0.18620826927577805,-0.1445697277006487,0.10208273823284345,-0.10842517722421367,1.4282898522123078
20,-1.75,5,14,0.05443376027211459,0.06722134210246411,0.7142857142857143,0.8965290456566761,0.17770481362676693,-0.17091042196940187,0.12748814354773208,-0.11963356138840356,1.5975797869845338
20,-2.0,1,7,0.01298956188074669,0.002554610193488571,0.5714285714285714,0.08805166754511506,0.1042675485693545,-0.029720238731093418,0.045824148978442135,-0.02159877364784531,0.7499790207191438
20,-2.0,2,7,-0.01177459255557505,-0.007859840463327217,0.2857142857142857,-0.08265562422453976,0.04098710399834338,-0.06711311424653765,0.033006535387273564,-0.02509431948017442,-0.9438325872631783
20,-2.0,3,7,-0.0012274461138590226,0.014074722837875031,0.7142857142857143,-0.01521032956401136,0.04269973024805607,-0.09483534433604002,0.04637778412599246,-0.06059237874596923,-0.07002312047037998
20,-2.0,5,7,0.023151764386165334,0.05149253475111659,0.7142857142857143,0.12979132201594235,0.17750567337330847,-0.17091042196940187,0.1125609838694514,-0.12241823627984749,0.5441833295380378
