,losing_events_avg,winning_events_avg,difference
trade_observations,2.8,2.6956521739130435,-0.10434782608695636
unique_assets,2.5,2.3043478260869565,-0.19565217391304346
qqq_return_1d,-0.015664555299738182,-0.009816705160874661,0.005847850138863521
qqq_return_5d,-0.021780394212274422,-0.006215719600107311,0.015564674612167111
qqq_return_20d,0.024815587988305986,0.020651823812131105,-0.004163764176174881
qqq_trend_20,-0.008011439845280188,0.003979235085594579,0.011990674930874768
qqq_trend_50,0.031642931371571925,0.031577596868298995,-6.53345032729305e-05
qqq_trend_200,0.08175176052294567,0.12019752958826088,0.038445769065315216
qqq_ma50_slope_10d,0.018041521985811104,0.015968667818854552,-0.0020728541669565517
qqq_ma200_slope_20d,0.010977921757409994,0.018259187010566585,0.0072812652531565915
qqq_volatility_20d,0.012292049111554916,0.00959056919391048,-0.002701479917644436
soxx_return_1d,-0.03325313596034588,-0.016248779243590476,0.017004356716755407
soxx_return_5d,-0.030699622612967513,-0.017032565670714393,0.01366705694225312
soxx_return_20d,0.025851422706411477,-0.0010266655188692186,-0.026878088225280695
soxx_trend_20,-0.014130265196484203,-0.011907302789365215,0.002222962407118988
soxx_trend_50,0.05007103434856943,0.015713263565212594,-0.034357770783356834
soxx_trend_200,0.17804022910552422,0.12229235535704405,-0.05574787374848017
soxx_ma50_slope_10d,0.033043951492154576,0.016994508893629818,-0.016049442598524758
vix_level,18.675999927520753,18.35173917853314,-0.32426074898761215
vix_change_1d,0.09076162901680213,0.04111708110315906,-0.04964454791364307
vix_change_5d,0.1390086833926055,0.04962696668367592,-0.08938171670892958
vix_change_20d,0.021200050763133783,-0.02992553989992877,-0.051125590663062555
vix_vs_ma20,0.0871944356577958,0.0023637297115386147,-0.08483070594625719
