signal_date,entry_date,exit_date,trade_return,exit_reason,winner,z_score,soxl_return_1d,soxl_return_5d,soxl_return_10d,volatility_20d,volume_ratio,qqq_trend,soxx_trend,vix_level,vix_change_5d
2021-07-16,2021-07-19,2021-07-23,0.1777047993783485,time_exit,True,-1.8581934293991849,-0.06747844973976513,-0.11994254585243103,-0.13648115516786252,0.04172373066833877,1.1677744884470014,0.0480244542400019,-0.006619244501902322,18.450000762939453,0.14029668819212127
2021-08-18,2021-08-19,2021-08-25,0.1705221696965895,time_exit,True,-1.7912264386155408,-0.04448849474687511,-0.12474507785507016,-0.187985889186709,0.0332526085021949,0.9984248972935607,0.011657272815078334,-0.014801970315851287,21.56999969482422,0.3339517373563252
2021-09-20,2021-09-21,2021-09-27,0.0807155553181195,time_exit,True,-1.7882108446312353,-0.07379704393657793,-0.09546688460227437,-0.0834039556134184,0.03449692039272926,1.863225606255127,-0.009812115267917587,0.002217376768827606,25.709999084472656,0.32731016884613484
2021-09-28,2021-09-29,2021-10-04,-0.1208800000000001,stop,False,-2.340551985637079,-0.11448932193482275,-0.03142191248978499,-0.11781902857119386,0.039902979103609036,2.177600436464186,-0.02843554426946826,-0.011851750002506267,23.25,-0.04556652637684555
2021-12-16,2021-12-17,2021-12-23,0.1735558969590049,time_exit,True,-1.823981078872049,-0.13050523091741972,-0.10121394733684608,-0.06355738704638125,0.06982032869519246,1.6052725930490417,0.0007616622749619939,0.033039277342083784,20.56999969482422,-0.04680260576703388
2022-01-18,2022-01-19,2022-01-20,-0.1208800000000001,stop,False,-1.8871289352931488,-0.13182385972570132,-0.06699996055977864,-0.22357839222478448,0.06289744798490206,1.5510471431274884,-0.05498818614125922,-0.03608707519967236,22.790000915527344,0.17474233833278263
2022-01-27,2022-01-28,2022-01-31,0.1987999999999998,target,True,-1.8537486774170355,-0.13675220614888295,-0.2093933666189327,-0.4369774093283424,0.06931695444416484,1.7631897313334375,-0.11685526595781015,-0.14767179671594033,30.489999771118164,0.1914810312353492
2022-03-07,2022-03-08,2022-03-09,0.1988000000000001,target,True,-2.2764018420148497,-0.149266861739087,-0.2787124854088223,-0.2535957298888045,0.08987540974619755,1.1335250887884136,-0.10658243250680788,-0.13630905628543455,36.45000076293945,0.20895526448156843
2022-03-14,2022-03-15,2022-03-16,0.1988000000000001,target,True,-1.841050675256249,-0.09058334826053627,-0.05645712949209347,-0.3194343080211267,0.08687178299309939,1.0542535273428417,-0.10671675238857259,-0.12995958886620262,31.770000457763672,-0.12839506741339146
2022-04-11,2022-04-12,2022-04-19,0.0232722377894145,time_exit,True,-1.9709507290716988,-0.0636268800494354,-0.3021602818986121,-0.37977060654583517,0.08172864625663692,1.3162147875997405,-0.023279287577814944,-0.09714640606035574,24.3700008392334,0.3123317845840212
